#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.808935E+04   0.517537E-01   0.000000E+00  -0.759258E-01   0.107773E-07   0.567244E-02  -0.107009E-04
     3   0.900488E+04   0.862436E-01   0.000000E+00   0.466480E+00   0.129643E-07   0.647225E-02  -0.143654E-04
     4   0.924688E+04   0.972859E-01   0.000000E+00   0.232124E+01   0.152572E-07   0.691246E-02  -0.151313E-04
     5   0.919050E+04   0.860562E-01   0.000000E+00   0.391846E+01   0.175128E-07   0.713864E-02  -0.134002E-04
     6   0.902791E+04   0.634194E-01   0.000000E+00   0.475372E+01   0.196778E-07   0.724106E-02  -0.992275E-05
     7   0.882544E+04   0.405276E-01   0.000000E+00   0.489756E+01   0.217423E-07   0.727274E-02  -0.560810E-05
     8   0.859869E+04   0.238821E-01   0.000000E+00   0.461298E+01   0.237064E-07   0.725507E-02  -0.132242E-05
     9   0.836878E+04   0.146734E-01   0.000000E+00   0.415486E+01   0.255754E-07   0.720284E-02   0.226711E-05
    10   0.814215E+04   0.108530E-01   0.000000E+00   0.366573E+01   0.273498E-07   0.712420E-02   0.476979E-05
    11   0.792503E+04   0.958914E-02   0.000000E+00   0.324865E+01   0.290415E-07   0.703587E-02   0.607316E-05
    12   0.771790E+04   0.890070E-02   0.000000E+00   0.294824E+01   0.306471E-07   0.694174E-02   0.625895E-05
    13   0.751923E+04   0.794823E-02   0.000000E+00   0.275119E+01   0.321710E-07   0.684371E-02   0.555188E-05
    14   0.732874E+04   0.694148E-02   0.000000E+00   0.263026E+01   0.336200E-07   0.674391E-02   0.422120E-05
    15   0.714653E+04   0.616014E-02   0.000000E+00   0.255612E+01   0.349977E-07   0.664166E-02   0.263657E-05
    16   0.697269E+04   0.579957E-02   0.000000E+00   0.250515E+01   0.363074E-07   0.653645E-02   0.114940E-05
    17   0.680702E+04   0.586809E-02   0.000000E+00   0.247527E+01   0.375544E-07   0.643030E-02  -0.369792E-07
    18   0.664847E+04   0.613484E-02   0.000000E+00   0.246579E+01   0.387435E-07   0.632528E-02  -0.793874E-06
    19   0.649734E+04   0.644777E-02   0.000000E+00   0.245328E+01   0.398758E-07   0.622099E-02  -0.114036E-05
    20   0.635148E+04   0.676775E-02   0.000000E+00   0.241667E+01   0.409520E-07   0.611674E-02  -0.113430E-05
    21   0.621120E+04   0.716151E-02   0.000000E+00   0.238152E+01   0.419769E-07   0.601294E-02  -0.846924E-06
    22   0.607681E+04   0.778211E-02   0.000000E+00   0.237277E+01   0.429551E-07   0.591019E-02  -0.364473E-06
    23   0.594784E+04   0.866287E-02   0.000000E+00   0.237111E+01   0.438880E-07   0.580879E-02   0.177147E-06
    24   0.582401E+04   0.977396E-02   0.000000E+00   0.235218E+01   0.447766E-07   0.570897E-02   0.638780E-06
    25   0.570498E+04   0.111240E-01   0.000000E+00   0.231539E+01   0.456233E-07   0.561090E-02   0.913925E-06
    26   0.559028E+04   0.126893E-01   0.000000E+00   0.227245E+01   0.464307E-07   0.551473E-02   0.941307E-06
    27   0.547988E+04   0.144421E-01   0.000000E+00   0.225310E+01   0.472009E-07   0.542035E-02   0.806049E-06
    28   0.537342E+04   0.163833E-01   0.000000E+00   0.228168E+01   0.479354E-07   0.532765E-02   0.612063E-06
    29   0.527095E+04   0.185170E-01   0.000000E+00   0.233772E+01   0.486335E-07   0.523667E-02   0.395345E-06
    30   0.517241E+04   0.208505E-01   0.000000E+00   0.239129E+01   0.492947E-07   0.514744E-02   0.168716E-06
    31   0.507759E+04   0.233625E-01   0.000000E+00   0.242597E+01   0.499224E-07   0.505993E-02  -0.797084E-07
    32   0.498661E+04   0.260228E-01   0.000000E+00   0.243165E+01   0.505200E-07   0.497403E-02  -0.348671E-06
    33   0.489925E+04   0.288422E-01   0.000000E+00   0.241026E+01   0.510884E-07   0.488938E-02  -0.560175E-06
    34   0.481514E+04   0.318520E-01   0.000000E+00   0.236829E+01   0.516282E-07   0.480568E-02  -0.632432E-06
    35   0.473414E+04   0.350760E-01   0.000000E+00   0.231553E+01   0.521402E-07   0.472303E-02  -0.543818E-06
    36   0.465614E+04   0.385369E-01   0.000000E+00   0.225937E+01   0.526258E-07   0.464166E-02  -0.313250E-06
    37   0.458105E+04   0.422276E-01   0.000000E+00   0.219815E+01   0.530860E-07   0.456210E-02  -0.616625E-07
    38   0.450908E+04   0.461446E-01   0.000000E+00   0.213060E+01   0.535216E-07   0.448471E-02   0.972153E-07
    39   0.444011E+04   0.502987E-01   0.000000E+00   0.205739E+01   0.539333E-07   0.440919E-02   0.178668E-06
    40   0.437374E+04   0.547101E-01   0.000000E+00   0.197941E+01   0.543214E-07   0.433507E-02   0.230002E-06
    41   0.430998E+04   0.593992E-01   0.000000E+00   0.189679E+01   0.546867E-07   0.426198E-02   0.287961E-06
    42   0.424850E+04   0.643673E-01   0.000000E+00   0.180726E+01   0.550298E-07   0.418989E-02   0.347706E-06
    43   0.418937E+04   0.696108E-01   0.000000E+00   0.170799E+01   0.553516E-07   0.411886E-02   0.394061E-06
    44   0.413234E+04   0.751112E-01   0.000000E+00   0.159704E+01   0.556529E-07   0.404898E-02   0.411896E-06
    45   0.407770E+04   0.808604E-01   0.000000E+00   0.147253E+01   0.559345E-07   0.398030E-02   0.386123E-06
    46   0.402531E+04   0.868551E-01   0.000000E+00   0.133136E+01   0.561971E-07   0.391287E-02   0.307505E-06
    47   0.397499E+04   0.930977E-01   0.000000E+00   0.117524E+01   0.564414E-07   0.384661E-02   0.190067E-06
    48   0.392668E+04   0.995990E-01   0.000000E+00   0.100980E+01   0.566680E-07   0.378143E-02   0.535967E-07
    49   0.388044E+04   0.106347E+00   0.000000E+00   0.840052E+00   0.568774E-07   0.371723E-02  -0.821755E-07
    50   0.383649E+04   0.113324E+00   0.000000E+00   0.664227E+00   0.570701E-07   0.365389E-02  -0.197567E-06
