#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.211600E+04   0.471532E-01   0.000000E+00   0.999930E+00   0.182665E-07   0.380584E-02  -0.109654E-04
     3   0.212008E+04   0.744922E-01   0.000000E+00   0.631184E+00   0.209931E-07   0.412078E-02  -0.123205E-04
     4   0.209094E+04   0.808339E-01   0.000000E+00   0.777328E+00   0.234451E-07   0.429216E-02  -0.108265E-04
     5   0.204771E+04   0.699527E-01   0.000000E+00   0.148895E+01   0.256515E-07   0.438153E-02  -0.742886E-05
     6   0.199682E+04   0.526129E-01   0.000000E+00   0.259125E+01   0.276390E-07   0.441992E-02  -0.293340E-05
     7   0.194305E+04   0.382643E-01   0.000000E+00   0.381760E+01   0.294425E-07   0.442625E-02   0.191381E-05
     8   0.188798E+04   0.310721E-01   0.000000E+00   0.491703E+01   0.310858E-07   0.440991E-02   0.645520E-05
     9   0.183278E+04   0.301237E-01   0.000000E+00   0.571056E+01   0.325909E-07   0.437744E-02   0.101876E-04
    10   0.177986E+04   0.319377E-01   0.000000E+00   0.612396E+01   0.339698E-07   0.433481E-02   0.128317E-04
    11   0.173283E+04   0.330996E-01   0.000000E+00   0.617253E+01   0.352449E-07   0.428986E-02   0.143378E-04
    12   0.169331E+04   0.318005E-01   0.000000E+00   0.592276E+01   0.364172E-07   0.424474E-02   0.147839E-04
    13   0.165824E+04   0.280321E-01   0.000000E+00   0.546623E+01   0.374953E-07   0.419892E-02   0.143455E-04
    14   0.162523E+04   0.229785E-01   0.000000E+00   0.489806E+01   0.384908E-07   0.415176E-02   0.132420E-04
    15   0.159447E+04   0.179243E-01   0.000000E+00   0.431737E+01   0.394094E-07   0.410198E-02   0.118178E-04
    16   0.156663E+04   0.139512E-01   0.000000E+00   0.381297E+01   0.402560E-07   0.404894E-02   0.104071E-04
    17   0.154212E+04   0.114474E-01   0.000000E+00   0.342527E+01   0.410376E-07   0.399459E-02   0.920333E-05
    18   0.152034E+04   0.103513E-01   0.000000E+00   0.317524E+01   0.417606E-07   0.394092E-02   0.832803E-05
    19   0.150192E+04   0.103414E-01   0.000000E+00   0.304804E+01   0.424270E-07   0.388764E-02   0.776008E-05
    20   0.148487E+04   0.110971E-01   0.000000E+00   0.301592E+01   0.430384E-07   0.383409E-02   0.745157E-05
    21   0.146955E+04   0.122918E-01   0.000000E+00   0.304979E+01   0.436007E-07   0.378040E-02   0.738467E-05
    22   0.145633E+04   0.136989E-01   0.000000E+00   0.311873E+01   0.441196E-07   0.372689E-02   0.752521E-05
    23   0.144501E+04   0.151366E-01   0.000000E+00   0.319067E+01   0.445971E-07   0.367391E-02   0.774306E-05
    24   0.143559E+04   0.164328E-01   0.000000E+00   0.323744E+01   0.450345E-07   0.362178E-02   0.789728E-05
    25   0.142799E+04   0.175799E-01   0.000000E+00   0.324736E+01   0.454350E-07   0.357063E-02   0.789501E-05
    26   0.142196E+04   0.185905E-01   0.000000E+00   0.321714E+01   0.458016E-07   0.352052E-02   0.768567E-05
    27   0.141764E+04   0.195570E-01   0.000000E+00   0.315327E+01   0.461368E-07   0.347133E-02   0.733840E-05
    28   0.141478E+04   0.206171E-01   0.000000E+00   0.306633E+01   0.464425E-07   0.342298E-02   0.693821E-05
    29   0.141334E+04   0.218955E-01   0.000000E+00   0.296854E+01   0.467181E-07   0.337554E-02   0.651638E-05
    30   0.141311E+04   0.235031E-01   0.000000E+00   0.286997E+01   0.469638E-07   0.332908E-02   0.608701E-05
    31   0.141387E+04   0.254706E-01   0.000000E+00   0.277676E+01   0.471829E-07   0.328351E-02   0.564903E-05
    32   0.141581E+04   0.277941E-01   0.000000E+00   0.269332E+01   0.473791E-07   0.323866E-02   0.520992E-05
    33   0.141882E+04   0.304606E-01   0.000000E+00   0.262110E+01   0.475535E-07   0.319436E-02   0.482634E-05
    34   0.142266E+04   0.334608E-01   0.000000E+00   0.256156E+01   0.477066E-07   0.315047E-02   0.455636E-05
    35   0.142725E+04   0.367616E-01   0.000000E+00   0.251609E+01   0.478397E-07   0.310702E-02   0.441576E-05
    36   0.143253E+04   0.403280E-01   0.000000E+00   0.248212E+01   0.479539E-07   0.306416E-02   0.439161E-05
    37   0.143851E+04   0.441072E-01   0.000000E+00   0.244529E+01   0.480505E-07   0.302232E-02   0.439846E-05
    38   0.144554E+04   0.480616E-01   0.000000E+00   0.239358E+01   0.481303E-07   0.298183E-02   0.435516E-05
    39   0.145352E+04   0.522033E-01   0.000000E+00   0.232717E+01   0.481940E-07   0.294244E-02   0.426875E-05
    40   0.146212E+04   0.565627E-01   0.000000E+00   0.224910E+01   0.482423E-07   0.290378E-02   0.416818E-05
    41   0.147139E+04   0.611702E-01   0.000000E+00   0.216136E+01   0.482756E-07   0.286554E-02   0.407570E-05
    42   0.148106E+04   0.660358E-01   0.000000E+00   0.206251E+01   0.482948E-07   0.282771E-02   0.398714E-05
    43   0.149127E+04   0.711646E-01   0.000000E+00   0.195027E+01   0.483006E-07   0.279038E-02   0.389180E-05
    44   0.150183E+04   0.765465E-01   0.000000E+00   0.182326E+01   0.482938E-07   0.275363E-02   0.377897E-05
    45   0.151310E+04   0.821821E-01   0.000000E+00   0.168018E+01   0.482752E-07   0.271753E-02   0.363801E-05
    46   0.152498E+04   0.880749E-01   0.000000E+00   0.151857E+01   0.482456E-07   0.268213E-02   0.346245E-05
    47   0.153730E+04   0.942274E-01   0.000000E+00   0.134133E+01   0.482056E-07   0.264737E-02   0.326251E-05
    48   0.154997E+04   0.100649E+00   0.000000E+00   0.115533E+01   0.481557E-07   0.261316E-02   0.305254E-05
    49   0.156306E+04   0.107327E+00   0.000000E+00   0.966870E+00   0.480964E-07   0.257941E-02   0.284683E-05
    50   0.157677E+04   0.114240E+00   0.000000E+00   0.775442E+00   0.480284E-07   0.254602E-02   0.265968E-05
    51   0.159087E+04   0.121364E+00   0.000000E+00   0.578362E+00   0.479521E-07   0.251295E-02   0.250212E-05
    52   0.160558E+04   0.128780E+00   0.000000E+00   0.369816E+00   0.478680E-07   0.248027E-02   0.237241E-05
    53   0.162051E+04   0.136631E+00   0.000000E+00   0.145062E+00   0.477764E-07   0.244812E-02   0.226560E-05
    54   0.163561E+04   0.144905E+00   0.000000E+00  -0.926780E-01   0.476777E-07   0.241659E-02   0.217679E-05
    55   0.165108E+04   0.153574E+00   0.000000E+00  -0.340064E+00   0.475722E-07   0.238582E-02   0.210106E-05
    56   0.166715E+04   0.162491E+00   0.000000E+00  -0.599658E+00   0.474603E-07   0.235588E-02   0.203414E-05
    57   0.168373E+04   0.171551E+00   0.000000E+00  -0.871317E+00   0.473421E-07   0.232670E-02   0.197425E-05
    58   0.170080E+04   0.180765E+00   0.000000E+00  -0.115545E+01   0.472180E-07   0.229816E-02   0.192025E-05
    59   0.171819E+04   0.190177E+00   0.000000E+00  -0.145251E+01   0.470881E-07   0.227013E-02   0.187098E-05
    60   0.173589E+04   0.199844E+00   0.000000E+00  -0.176148E+01   0.469526E-07   0.224251E-02   0.182531E-05
    61   0.175419E+04   0.209861E+00   0.000000E+00  -0.208129E+01   0.468119E-07   0.221519E-02   0.178207E-05
    62   0.177248E+04   0.220210E+00   0.000000E+00  -0.241299E+01   0.466662E-07   0.218814E-02   0.174007E-05
    63   0.179097E+04   0.230848E+00   0.000000E+00  -0.275773E+01   0.465159E-07   0.216135E-02   0.169808E-05
    64   0.180998E+04   0.241780E+00   0.000000E+00  -0.311693E+01   0.463614E-07   0.213481E-02   0.165489E-05
    65   0.182911E+04   0.252976E+00   0.000000E+00  -0.349139E+01   0.462032E-07   0.210850E-02   0.160930E-05
    66   0.184866E+04   0.264363E+00   0.000000E+00  -0.387945E+01   0.460415E-07   0.208243E-02   0.155989E-05
    67   0.186846E+04   0.275944E+00   0.000000E+00  -0.427873E+01   0.458765E-07   0.205666E-02   0.150450E-05
    68   0.188880E+04   0.287759E+00   0.000000E+00  -0.468794E+01   0.457086E-07   0.203127E-02   0.144076E-05
    69   0.190943E+04   0.299768E+00   0.000000E+00  -0.510570E+01   0.455379E-07   0.200632E-02   0.136633E-05
    70   0.193048E+04   0.312011E+00   0.000000E+00  -0.553408E+01   0.453645E-07   0.198190E-02   0.127886E-05
    71   0.195180E+04   0.324480E+00   0.000000E+00  -0.597562E+01   0.451886E-07   0.195806E-02   0.117802E-05
    72   0.197340E+04   0.337153E+00   0.000000E+00  -0.643090E+01   0.450104E-07   0.193476E-02   0.107163E-05
    73   0.199526E+04   0.350000E+00   0.000000E+00  -0.689950E+01   0.448298E-07   0.191194E-02   0.969531E-06
    74   0.201740E+04   0.363016E+00   0.000000E+00  -0.737953E+01   0.446468E-07   0.188954E-02   0.881560E-06
    75   0.203994E+04   0.376217E+00   0.000000E+00  -0.786849E+01   0.444615E-07   0.186750E-02   0.817534E-06
    76   0.206283E+04   0.389608E+00   0.000000E+00  -0.836504E+01   0.442740E-07   0.184577E-02   0.783994E-06
    77   0.208610E+04   0.403177E+00   0.000000E+00  -0.886951E+01   0.440844E-07   0.182430E-02   0.774404E-06
    78   0.210979E+04   0.416944E+00   0.000000E+00  -0.938412E+01   0.438928E-07   0.180308E-02   0.778968E-06
    79   0.213370E+04   0.430848E+00   0.000000E+00  -0.990591E+01   0.436996E-07   0.178208E-02   0.787899E-06
    80   0.215795E+04   0.444888E+00   0.000000E+00  -0.104371E+02   0.435048E-07   0.176127E-02   0.791420E-06
    81   0.218243E+04   0.459010E+00   0.000000E+00  -0.109789E+02   0.433086E-07   0.174063E-02   0.781529E-06
    82   0.220720E+04   0.473234E+00   0.000000E+00  -0.115304E+02   0.431112E-07   0.172019E-02   0.757280E-06
    83   0.223220E+04   0.487536E+00   0.000000E+00  -0.120913E+02   0.429127E-07   0.169998E-02   0.719494E-06
    84   0.225753E+04   0.501914E+00   0.000000E+00  -0.126598E+02   0.427132E-07   0.168003E-02   0.668987E-06
    85   0.228303E+04   0.516344E+00   0.000000E+00  -0.132369E+02   0.425129E-07   0.166038E-02   0.606577E-06
    86   0.230879E+04   0.530838E+00   0.000000E+00  -0.138215E+02   0.423118E-07   0.164106E-02   0.533697E-06
    87   0.233503E+04   0.545367E+00   0.000000E+00  -0.144126E+02   0.421101E-07   0.162206E-02   0.454251E-06
    88   0.236131E+04   0.559950E+00   0.000000E+00  -0.150099E+02   0.419079E-07   0.160336E-02   0.372759E-06
    89   0.238799E+04   0.574571E+00   0.000000E+00  -0.156145E+02   0.417052E-07   0.158495E-02   0.293735E-06
    90   0.241492E+04   0.589196E+00   0.000000E+00  -0.162232E+02   0.415021E-07   0.156682E-02   0.221691E-06
    91   0.244203E+04   0.603818E+00   0.000000E+00  -0.168365E+02   0.412986E-07   0.154895E-02   0.160249E-06
    92   0.246947E+04   0.618424E+00   0.000000E+00  -0.174536E+02   0.410949E-07   0.153135E-02   0.109484E-06
    93   0.249722E+04   0.633006E+00   0.000000E+00  -0.180747E+02   0.408910E-07   0.151399E-02   0.685851E-07
    94   0.252508E+04   0.647528E+00   0.000000E+00  -0.186983E+02   0.406869E-07   0.149689E-02   0.367414E-07
    95   0.255326E+04   0.661990E+00   0.000000E+00  -0.193253E+02   0.404827E-07   0.148002E-02   0.131438E-07
    96   0.258147E+04   0.676378E+00   0.000000E+00  -0.199550E+02   0.402783E-07   0.146340E-02  -0.301668E-08
    97   0.261015E+04   0.690679E+00   0.000000E+00  -0.205869E+02   0.400740E-07   0.144701E-02  -0.125480E-07
    98   0.263907E+04   0.704883E+00   0.000000E+00  -0.212187E+02   0.398696E-07   0.143085E-02  -0.162576E-07
    99   0.266810E+04   0.718956E+00   0.000000E+00  -0.218535E+02   0.396653E-07   0.141491E-02  -0.149523E-07
   100   0.269744E+04   0.732898E+00   0.000000E+00  -0.224869E+02   0.394611E-07   0.139918E-02  -0.943838E-08
   101   0.272696E+04   0.746768E+00   0.000000E+00  -0.231221E+02   0.392570E-07   0.138367E-02  -0.521398E-09
   102   0.275702E+04   0.760420E+00   0.000000E+00  -0.237568E+02   0.390531E-07   0.136837E-02   0.109935E-07
   103   0.278704E+04   0.773926E+00   0.000000E+00  -0.243919E+02   0.388494E-07   0.135327E-02   0.243017E-07
   104   0.281729E+04   0.787289E+00   0.000000E+00  -0.250246E+02   0.386461E-07   0.133837E-02   0.385991E-07
   105   0.284772E+04   0.800433E+00   0.000000E+00  -0.256564E+02   0.384430E-07   0.132366E-02   0.530820E-07
   106   0.287839E+04   0.813435E+00   0.000000E+00  -0.262866E+02   0.382404E-07   0.130914E-02   0.669473E-07
   107   0.290901E+04   0.826146E+00   0.000000E+00  -0.269139E+02   0.380381E-07   0.129481E-02   0.793920E-07
   108   0.294003E+04   0.838641E+00   0.000000E+00  -0.275391E+02   0.378363E-07   0.128065E-02   0.896140E-07
   109   0.297121E+04   0.850845E+00   0.000000E+00  -0.281608E+02   0.376351E-07   0.126666E-02   0.968110E-07
   110   0.300248E+04   0.862761E+00   0.000000E+00  -0.287776E+02   0.374344E-07   0.125285E-02   0.100181E-06
   111   0.303393E+04   0.874461E+00   0.000000E+00  -0.293910E+02   0.372344E-07   0.123919E-02   0.991184E-07
   112   0.306555E+04   0.885874E+00   0.000000E+00  -0.300004E+02   0.370350E-07   0.122570E-02   0.937926E-07
   113   0.309740E+04   0.896998E+00   0.000000E+00  -0.306041E+02   0.368362E-07   0.121237E-02   0.845687E-07
   114   0.312934E+04   0.907760E+00   0.000000E+00  -0.312015E+02   0.366381E-07   0.119920E-02   0.718114E-07
   115   0.316153E+04   0.918309E+00   0.000000E+00  -0.317924E+02   0.364407E-07   0.118619E-02   0.558851E-07
   116   0.319372E+04   0.928423E+00   0.000000E+00  -0.323760E+02   0.362440E-07   0.117333E-02   0.371539E-07
   117   0.322623E+04   0.938176E+00   0.000000E+00  -0.329517E+02   0.360480E-07   0.116064E-02   0.159819E-07
   118   0.325890E+04   0.947717E+00   0.000000E+00  -0.335200E+02   0.358528E-07   0.114809E-02  -0.726717E-08
   119   0.329157E+04   0.956898E+00   0.000000E+00  -0.340787E+02   0.356583E-07   0.113570E-02  -0.322297E-07
   120   0.332440E+04   0.965571E+00   0.000000E+00  -0.346279E+02   0.354646E-07   0.112346E-02  -0.585421E-07
   121   0.335724E+04   0.974033E+00   0.000000E+00  -0.351673E+02   0.352716E-07   0.111137E-02  -0.858412E-07
   122   0.339016E+04   0.981987E+00   0.000000E+00  -0.356964E+02   0.350795E-07   0.109944E-02  -0.113764E-06
