#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.311413E+04   0.686249E-01   0.000000E+00   0.430794E+01   0.164049E-07   0.302981E-02  -0.153022E-04
     3   0.284792E+04   0.984774E-01   0.000000E+00   0.335890E+01   0.179545E-07   0.351765E-02  -0.159241E-04
     4   0.265723E+04   0.101925E+00   0.000000E+00   0.271906E+01   0.194122E-07   0.381027E-02  -0.134956E-04
     5   0.252872E+04   0.858822E-01   0.000000E+00   0.288031E+01   0.207683E-07   0.397925E-02  -0.923523E-05
     6   0.243275E+04   0.636441E-01   0.000000E+00   0.374777E+01   0.220188E-07   0.407206E-02  -0.403322E-05
     7   0.235357E+04   0.459917E-01   0.000000E+00   0.499094E+01   0.231755E-07   0.411773E-02   0.136084E-05
     8   0.228237E+04   0.373577E-01   0.000000E+00   0.625359E+01   0.242457E-07   0.413190E-02   0.632251E-05
     9   0.221529E+04   0.364230E-01   0.000000E+00   0.725938E+01   0.252387E-07   0.412482E-02   0.103905E-04
    10   0.215263E+04   0.390232E-01   0.000000E+00   0.786237E+01   0.261586E-07   0.410441E-02   0.133176E-04
    11   0.209738E+04   0.410939E-01   0.000000E+00   0.803540E+01   0.270188E-07   0.407931E-02   0.150719E-04
    12   0.205022E+04   0.403705E-01   0.000000E+00   0.782741E+01   0.278169E-07   0.405214E-02   0.157413E-04
    13   0.200736E+04   0.367196E-01   0.000000E+00   0.733965E+01   0.285570E-07   0.402261E-02   0.155086E-04
    14   0.196598E+04   0.313224E-01   0.000000E+00   0.668469E+01   0.292455E-07   0.399024E-02   0.145961E-04
    15   0.192637E+04   0.256451E-01   0.000000E+00   0.598646E+01   0.298849E-07   0.395409E-02   0.133342E-04
    16   0.188947E+04   0.209816E-01   0.000000E+00   0.535844E+01   0.304777E-07   0.391383E-02   0.120424E-04
    17   0.185578E+04   0.178726E-01   0.000000E+00   0.485762E+01   0.310280E-07   0.387147E-02   0.109113E-04
    18   0.182482E+04   0.163663E-01   0.000000E+00   0.451712E+01   0.315401E-07   0.382908E-02   0.100654E-04
    19   0.179721E+04   0.161420E-01   0.000000E+00   0.432425E+01   0.320145E-07   0.378643E-02   0.949579E-05
    20   0.177100E+04   0.168411E-01   0.000000E+00   0.424947E+01   0.324521E-07   0.374296E-02   0.916623E-05
    21   0.174664E+04   0.180544E-01   0.000000E+00   0.425601E+01   0.328568E-07   0.369885E-02   0.905822E-05
    22   0.172457E+04   0.194672E-01   0.000000E+00   0.430407E+01   0.332323E-07   0.365449E-02   0.913703E-05
    23   0.170461E+04   0.208347E-01   0.000000E+00   0.435386E+01   0.335798E-07   0.361020E-02   0.928407E-05
    24   0.168682E+04   0.219386E-01   0.000000E+00   0.437064E+01   0.339000E-07   0.356629E-02   0.937175E-05
    25   0.167112E+04   0.227686E-01   0.000000E+00   0.433980E+01   0.341949E-07   0.352291E-02   0.931575E-05
