#    L    TT             EE             BB             TE          
     2   0.115208E+05   0.500384E-01   0.968066E-06  -0.165761E+01
     3   0.124686E+05   0.855832E-01   0.193631E-05  -0.652521E+00
     4   0.125943E+05   0.973443E-01   0.322759E-05   0.200842E+01
     5   0.123960E+05   0.864892E-01   0.484214E-05   0.420748E+01
     6   0.121032E+05   0.640124E-01   0.678025E-05   0.538110E+01
     7   0.117844E+05   0.411557E-01   0.904228E-05   0.566748E+01
     8   0.114493E+05   0.244880E-01   0.116286E-04   0.541005E+01
     9   0.111194E+05   0.152340E-01   0.145397E-04   0.492470E+01
    10   0.107990E+05   0.113640E-01   0.177761E-04   0.438416E+01
    11   0.104948E+05   0.100543E-01   0.213383E-04   0.391106E+01
    12   0.102058E+05   0.932402E-02   0.252269E-04   0.355905E+01
    13   0.992964E+04   0.833506E-02   0.294425E-04   0.331649E+01
    14   0.966558E+04   0.729843E-02   0.339857E-04   0.315599E+01
    15   0.941329E+04   0.649154E-02   0.388572E-04   0.304593E+01
    16   0.917240E+04   0.610754E-02   0.440578E-04   0.296072E+01
    17   0.894253E+04   0.615663E-02   0.495881E-04   0.290022E+01
    18   0.872240E+04   0.640964E-02   0.554488E-04   0.286544E+01
    19   0.851207E+04   0.671108E-02   0.616407E-04   0.282973E+01
    20   0.830914E+04   0.701884E-02   0.681646E-04   0.276915E+01
    21   0.811385E+04   0.740318E-02   0.750211E-04   0.271243E+01
    22   0.792643E+04   0.802062E-02   0.822110E-04   0.268752E+01
    23   0.774631E+04   0.890078E-02   0.897350E-04   0.267152E+01
    24   0.757307E+04   0.100095E-01   0.975939E-04   0.263576E+01
    25   0.740627E+04   0.113551E-01   0.105788E-03   0.257922E+01
    26   0.724535E+04   0.129152E-01   0.114319E-03   0.251508E+01
    27   0.709019E+04   0.146649E-01   0.123186E-03   0.247855E+01
    28   0.694036E+04   0.166072E-01   0.132391E-03   0.249848E+01
    29   0.679586E+04   0.187452E-01   0.141934E-03   0.255121E+01
    30   0.665658E+04   0.210847E-01   0.151815E-03   0.260232E+01
    31   0.652229E+04   0.236033E-01   0.162036E-03   0.263296E+01
    32   0.639307E+04   0.262700E-01   0.172596E-03   0.263170E+01
    33   0.626863E+04   0.290957E-01   0.183496E-03   0.260122E+01
    34   0.614854E+04   0.321118E-01   0.194736E-03   0.254925E+01
    35   0.603263E+04   0.353426E-01   0.206317E-03   0.248646E+01
    36   0.592074E+04   0.388110E-01   0.218239E-03   0.242099E+01
    37   0.581277E+04   0.425100E-01   0.230502E-03   0.235150E+01
    38   0.570888E+04   0.464360E-01   0.243107E-03   0.227692E+01
    39   0.560890E+04   0.505997E-01   0.256053E-03   0.219764E+01
    40   0.551242E+04   0.550212E-01   0.269341E-03   0.211420E+01
    41   0.541939E+04   0.597208E-01   0.282971E-03   0.202643E+01
    42   0.532947E+04   0.646998E-01   0.296943E-03   0.193201E+01
    43   0.524268E+04   0.699546E-01   0.311257E-03   0.182808E+01
    44   0.515876E+04   0.754669E-01   0.325912E-03   0.171270E+01
    45   0.507796E+04   0.812285E-01   0.340910E-03   0.158399E+01
    46   0.500012E+04   0.872362E-01   0.356249E-03   0.143881E+01
    47   0.492504E+04   0.934923E-01   0.371930E-03   0.127890E+01
    48   0.485266E+04   0.100007E+00   0.387953E-03   0.110985E+01
    49   0.478302E+04   0.106770E+00   0.404317E-03   0.936659E+00
    50   0.471633E+04   0.113761E+00   0.421022E-03   0.757559E+00
    51   0.465234E+04   0.120957E+00   0.438069E-03   0.568911E+00
    52   0.459116E+04   0.128440E+00   0.455457E-03   0.365277E+00
    53   0.453229E+04   0.136352E+00   0.473186E-03   0.142624E+00
    54   0.447550E+04   0.144682E+00   0.491255E-03  -0.951161E-01
    55   0.442091E+04   0.153404E+00   0.509665E-03  -0.343895E+00
    56   0.436861E+04   0.162369E+00   0.528416E-03  -0.605643E+00
    57   0.431848E+04   0.171472E+00   0.547507E-03  -0.879900E+00
    58   0.427049E+04   0.180724E+00   0.566939E-03  -0.116684E+01
    59   0.422446E+04   0.190168E+00   0.586711E-03  -0.146667E+01
    60   0.418035E+04   0.199860E+00   0.606824E-03  -0.177814E+01
    61   0.413842E+04   0.209896E+00   0.627277E-03  -0.210001E+01
    62   0.409804E+04   0.220260E+00   0.648071E-03  -0.243328E+01
    63   0.405937E+04   0.230911E+00   0.669205E-03  -0.277920E+01
    64   0.402265E+04   0.241858E+00   0.690681E-03  -0.313919E+01
    65   0.398745E+04   0.253073E+00   0.712497E-03  -0.351412E+01
    66   0.395403E+04   0.264487E+00   0.734655E-03  -0.390232E+01
    67   0.392218E+04   0.276102E+00   0.757155E-03  -0.430114E+01
    68   0.389216E+04   0.287959E+00   0.779998E-03  -0.470899E+01
    69   0.386371E+04   0.300017E+00   0.803183E-03  -0.512419E+01
    70   0.383692E+04   0.312319E+00   0.826711E-03  -0.554849E+01
    71   0.381162E+04   0.324853E+00   0.850583E-03  -0.598434E+01
    72   0.378779E+04   0.337594E+00   0.874800E-03  -0.643315E+01
    73   0.376535E+04   0.350506E+00   0.899362E-03  -0.689551E+01
    74   0.374431E+04   0.363580E+00   0.924270E-03  -0.737056E+01
    75   0.372472E+04   0.376825E+00   0.949526E-03  -0.785685E+01
    76   0.370651E+04   0.390243E+00   0.975129E-03  -0.835371E+01
    77   0.368971E+04   0.403825E+00   0.100108E-02  -0.886087E+01
    78   0.367435E+04   0.417596E+00   0.102738E-02  -0.937962E+01
    79   0.366023E+04   0.431503E+00   0.105404E-02  -0.990603E+01
    80   0.364745E+04   0.445548E+00   0.108104E-02  -0.104414E+02
    81   0.363590E+04   0.459681E+00   0.110840E-02  -0.109861E+02
    82   0.362563E+04   0.473924E+00   0.113612E-02  -0.115392E+02
    83   0.361655E+04   0.488252E+00   0.116419E-02  -0.121004E+02
    84   0.360872E+04   0.502662E+00   0.119262E-02  -0.126680E+02
    85   0.360196E+04   0.517128E+00   0.122141E-02  -0.132432E+02
    86   0.359633E+04   0.531662E+00   0.125056E-02  -0.138249E+02
    87   0.359202E+04   0.546236E+00   0.128007E-02  -0.144124E+02
    88   0.358856E+04   0.560863E+00   0.130994E-02  -0.150058E+02
    89   0.358628E+04   0.575530E+00   0.134019E-02  -0.156065E+02
    90   0.358499E+04   0.590198E+00   0.137080E-02  -0.162117E+02
    91   0.358460E+04   0.604861E+00   0.140178E-02  -0.168222E+02
    92   0.358523E+04   0.619504E+00   0.143313E-02  -0.174372E+02
    93   0.358686E+04   0.634122E+00   0.146485E-02  -0.180568E+02
    94   0.358927E+04   0.648676E+00   0.149695E-02  -0.186796E+02
    95   0.359265E+04   0.663169E+00   0.152943E-02  -0.193063E+02
    96   0.359670E+04   0.677586E+00   0.156228E-02  -0.199362E+02
    97   0.360185E+04   0.691913E+00   0.159552E-02  -0.205686E+02
    98   0.360786E+04   0.706143E+00   0.162914E-02  -0.212012E+02
    99   0.361457E+04   0.720240E+00   0.166314E-02  -0.218372E+02
   100   0.362218E+04   0.734204E+00   0.169753E-02  -0.224721E+02
   101   0.363053E+04   0.748097E+00   0.173231E-02  -0.231089E+02
   102   0.363998E+04   0.761769E+00   0.176748E-02  -0.237454E+02
   103   0.364992E+04   0.775297E+00   0.180305E-02  -0.243824E+02
   104   0.366064E+04   0.788680E+00   0.183901E-02  -0.250169E+02
   105   0.367204E+04   0.801845E+00   0.187537E-02  -0.256505E+02
   106   0.368418E+04   0.814868E+00   0.191213E-02  -0.262825E+02
   107   0.369675E+04   0.827600E+00   0.194929E-02  -0.269113E+02
   108   0.371019E+04   0.840117E+00   0.198686E-02  -0.275379E+02
   109   0.372425E+04   0.852345E+00   0.202483E-02  -0.281607E+02
   110   0.373885E+04   0.864284E+00   0.206322E-02  -0.287782E+02
   111   0.375405E+04   0.876011E+00   0.210201E-02  -0.293921E+02
   112   0.376983E+04   0.887450E+00   0.214122E-02  -0.300015E+02
   113   0.378626E+04   0.898602E+00   0.218085E-02  -0.306050E+02
   114   0.380318E+04   0.909394E+00   0.222090E-02  -0.312017E+02
   115   0.382073E+04   0.919974E+00   0.226136E-02  -0.317917E+02
   116   0.383868E+04   0.930120E+00   0.230226E-02  -0.323743E+02
   117   0.385732E+04   0.939906E+00   0.234357E-02  -0.329486E+02
   118   0.387647E+04   0.949481E+00   0.238532E-02  -0.335154E+02
   119   0.389600E+04   0.958698E+00   0.242750E-02  -0.340724E+02
   120   0.391603E+04   0.967407E+00   0.247011E-02  -0.346197E+02
   121   0.393640E+04   0.975907E+00   0.251317E-02  -0.351572E+02
   122   0.395719E+04   0.983900E+00   0.255666E-02  -0.356841E+02
   123   0.397838E+04   0.991462E+00   0.260059E-02  -0.362005E+02
   124   0.399995E+04   0.998666E+00   0.264497E-02  -0.367034E+02
   125   0.402183E+04   0.100544E+01   0.268979E-02  -0.371949E+02
   126   0.404408E+04   0.101186E+01   0.273507E-02  -0.376743E+02
   127   0.406662E+04   0.101777E+01   0.278080E-02  -0.381409E+02
   128   0.408943E+04   0.102333E+01   0.282699E-02  -0.385940E+02
   129   0.411259E+04   0.102838E+01   0.287363E-02  -0.390326E+02
   130   0.413599E+04   0.103293E+01   0.292074E-02  -0.394561E+02
   131   0.415965E+04   0.103713E+01   0.296831E-02  -0.398661E+02
   132   0.418361E+04   0.104082E+01   0.301635E-02  -0.402594E+02
   133   0.420774E+04   0.104408E+01   0.306486E-02  -0.406384E+02
   134   0.423210E+04   0.104692E+01   0.311384E-02  -0.409987E+02
   135   0.425669E+04   0.104925E+01   0.316330E-02  -0.413433E+02
   136   0.428135E+04   0.105109E+01   0.321323E-02  -0.416686E+02
   137   0.430623E+04   0.105250E+01   0.326365E-02  -0.419767E+02
   138   0.433125E+04   0.105340E+01   0.331455E-02  -0.422662E+02
   139   0.435625E+04   0.105396E+01   0.336594E-02  -0.425365E+02
   140   0.438153E+04   0.105394E+01   0.341782E-02  -0.427882E+02
   141   0.440678E+04   0.105342E+01   0.347019E-02  -0.430193E+02
   142   0.443223E+04   0.105248E+01   0.352305E-02  -0.432305E+02
   143   0.445780E+04   0.105111E+01   0.357641E-02  -0.434219E+02
   144   0.448332E+04   0.104925E+01   0.363027E-02  -0.435927E+02
   145   0.450888E+04   0.104703E+01   0.368464E-02  -0.437422E+02
   146   0.453469E+04   0.104425E+01   0.373950E-02  -0.438706E+02
   147   0.456030E+04   0.104111E+01   0.379487E-02  -0.439762E+02
   148   0.458593E+04   0.103748E+01   0.385075E-02  -0.440607E+02
   149   0.461164E+04   0.103343E+01   0.390714E-02  -0.441226E+02
   150   0.463722E+04   0.102903E+01   0.396404E-02  -0.441598E+02
   151   0.466280E+04   0.102421E+01   0.402146E-02  -0.441752E+02
   152   0.468823E+04   0.101889E+01   0.407939E-02  -0.441673E+02
   153   0.471366E+04   0.101322E+01   0.413784E-02  -0.441339E+02
   154   0.473901E+04   0.100721E+01   0.419680E-02  -0.440773E+02
   155   0.476427E+04   0.100085E+01   0.425628E-02  -0.439966E+02
   156   0.478929E+04   0.994137E+00   0.431629E-02  -0.438919E+02
   157   0.481437E+04   0.987079E+00   0.437681E-02  -0.437618E+02
   158   0.483928E+04   0.979745E+00   0.443786E-02  -0.436068E+02
   159   0.486401E+04   0.971989E+00   0.449942E-02  -0.434270E+02
