#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.339409E+04   0.810532E-01   0.000000E+00   0.695300E+01   0.191512E-07   0.249335E-02  -0.185152E-04
     3   0.289935E+04   0.112465E+00   0.000000E+00   0.577203E+01   0.208687E-07   0.308339E-02  -0.189849E-04
     4   0.255794E+04   0.114364E+00   0.000000E+00   0.443688E+01   0.224604E-07   0.346171E-02  -0.161742E-04
     5   0.235108E+04   0.949294E-01   0.000000E+00   0.383981E+01   0.239382E-07   0.368791E-02  -0.114931E-04
     6   0.221965E+04   0.686649E-01   0.000000E+00   0.403976E+01   0.252989E-07   0.381887E-02  -0.590214E-05
     7   0.212851E+04   0.472496E-01   0.000000E+00   0.476101E+01   0.265550E-07   0.389083E-02  -0.177494E-06
     8   0.205815E+04   0.356361E-01   0.000000E+00   0.565684E+01   0.277142E-07   0.392388E-02   0.504925E-05
     9   0.199858E+04   0.327003E-01   0.000000E+00   0.643747E+01   0.287866E-07   0.393082E-02   0.931852E-05
    10   0.194654E+04   0.342413E-01   0.000000E+00   0.693197E+01   0.297766E-07   0.392110E-02   0.123922E-04
    11   0.190274E+04   0.360204E-01   0.000000E+00   0.708387E+01   0.306991E-07   0.390429E-02   0.142519E-04
    12   0.186687E+04   0.355448E-01   0.000000E+00   0.691491E+01   0.315512E-07   0.388374E-02   0.149980E-04
    13   0.183493E+04   0.324569E-01   0.000000E+00   0.650342E+01   0.323376E-07   0.385965E-02   0.148203E-04
    14   0.180404E+04   0.277361E-01   0.000000E+00   0.594151E+01   0.330661E-07   0.383192E-02   0.139473E-04
    15   0.177444E+04   0.227195E-01   0.000000E+00   0.533869E+01   0.337395E-07   0.379982E-02   0.127183E-04
    16   0.174697E+04   0.186078E-01   0.000000E+00   0.479711E+01   0.343608E-07   0.376312E-02   0.114605E-04
    17   0.172205E+04   0.159171E-01   0.000000E+00   0.436896E+01   0.349347E-07   0.372397E-02   0.103662E-04
    18   0.169916E+04   0.146953E-01   0.000000E+00   0.408516E+01   0.354660E-07   0.368450E-02   0.955895E-05
    19   0.167898E+04   0.146494E-01   0.000000E+00   0.393477E+01   0.359555E-07   0.364456E-02   0.902660E-05
    20   0.165963E+04   0.154548E-01   0.000000E+00   0.389105E+01   0.364041E-07   0.360361E-02   0.873007E-05
    21   0.164162E+04   0.167340E-01   0.000000E+00   0.392039E+01   0.368162E-07   0.356186E-02   0.865320E-05
    22   0.162539E+04   0.182006E-01   0.000000E+00   0.398612E+01   0.371962E-07   0.351970E-02   0.876363E-05
    23   0.161083E+04   0.196260E-01   0.000000E+00   0.405124E+01   0.375453E-07   0.347750E-02   0.894070E-05
    24   0.159802E+04   0.208023E-01   0.000000E+00   0.408337E+01   0.378644E-07   0.343560E-02   0.905397E-05
    25   0.158691E+04   0.217203E-01   0.000000E+00   0.406901E+01   0.381557E-07   0.339416E-02   0.901766E-05
    26   0.157733E+04   0.224049E-01   0.000000E+00   0.400404E+01   0.384217E-07   0.335328E-02   0.878478E-05
    27   0.156945E+04   0.229859E-01   0.000000E+00   0.389583E+01   0.386641E-07   0.331290E-02   0.841749E-05
    28   0.156305E+04   0.236425E-01   0.000000E+00   0.375683E+01   0.388844E-07   0.327298E-02   0.799293E-05
    29   0.155809E+04   0.245331E-01   0.000000E+00   0.360322E+01   0.390819E-07   0.323359E-02   0.754162E-05
    30   0.155436E+04   0.257974E-01   0.000000E+00   0.344930E+01   0.392565E-07   0.319481E-02   0.707911E-05
    31   0.155166E+04   0.274814E-01   0.000000E+00   0.330471E+01   0.394109E-07   0.315657E-02   0.660786E-05
    32   0.155018E+04   0.295898E-01   0.000000E+00   0.317659E+01   0.395481E-07   0.311874E-02   0.613775E-05
    33   0.154984E+04   0.321031E-01   0.000000E+00   0.306704E+01   0.396688E-07   0.308120E-02   0.572143E-05
    34   0.155038E+04   0.350003E-01   0.000000E+00   0.297739E+01   0.397734E-07   0.304381E-02   0.541229E-05
    35   0.155174E+04   0.382311E-01   0.000000E+00   0.290814E+01   0.398629E-07   0.300663E-02   0.522484E-05
    36   0.155384E+04   0.417430E-01   0.000000E+00   0.285553E+01   0.399381E-07   0.296979E-02   0.514755E-05
    37   0.155673E+04   0.454714E-01   0.000000E+00   0.280371E+01   0.399999E-07   0.293370E-02   0.510341E-05
    38   0.156074E+04   0.493701E-01   0.000000E+00   0.273912E+01   0.400490E-07   0.289870E-02   0.501898E-05
    39   0.156579E+04   0.534497E-01   0.000000E+00   0.266070E+01   0.400860E-07   0.286455E-02   0.489934E-05
