#    L    TT             EE             BB             TE          
     2   0.256394E+04   0.402157E-01   0.572458E-06  -0.932241E-01
     3   0.267630E+04   0.651311E-01   0.114506E-05  -0.589649E+00
     4   0.269923E+04   0.718388E-01   0.190877E-05  -0.604241E-01
     5   0.267232E+04   0.637489E-01   0.286377E-05   0.131046E+01
     6   0.261619E+04   0.506839E-01   0.401030E-05   0.315800E+01
     7   0.254479E+04   0.410188E-01   0.534865E-05   0.507845E+01
     8   0.246500E+04   0.380222E-01   0.687915E-05   0.673408E+01
     9   0.238156E+04   0.402057E-01   0.860215E-05   0.790583E+01
    10   0.229948E+04   0.438465E-01   0.105181E-04   0.851676E+01
    11   0.222468E+04   0.455695E-01   0.126273E-04   0.860498E+01
    12   0.215933E+04   0.437919E-01   0.149304E-04   0.827021E+01
    13   0.209997E+04   0.388563E-01   0.174278E-04   0.764377E+01
    14   0.204379E+04   0.323062E-01   0.201201E-04   0.686039E+01
    15   0.199096E+04   0.257222E-01   0.230076E-04   0.605292E+01
    16   0.194222E+04   0.204285E-01   0.260912E-04   0.533886E+01
    17   0.189808E+04   0.169074E-01   0.293711E-04   0.477297E+01
    18   0.185807E+04   0.151316E-01   0.328482E-04   0.438432E+01
    19   0.182263E+04   0.147237E-01   0.365228E-04   0.415528E+01
    20   0.178965E+04   0.152819E-01   0.403957E-04   0.405195E+01
    21   0.175942E+04   0.163882E-01   0.444673E-04   0.403634E+01
    22   0.173228E+04   0.177291E-01   0.487383E-04   0.406821E+01
    23   0.170797E+04   0.190685E-01   0.532091E-04   0.410733E+01
    24   0.168642E+04   0.201964E-01   0.578803E-04   0.411852E+01
    25   0.166750E+04   0.211019E-01   0.627525E-04   0.408685E+01
    26   0.165090E+04   0.218081E-01   0.678260E-04   0.400756E+01
    27   0.163671E+04   0.224374E-01   0.731014E-04   0.388910E+01
    28   0.162462E+04   0.231603E-01   0.785791E-04   0.374499E+01
    29   0.161451E+04   0.241253E-01   0.842596E-04   0.359044E+01
    30   0.160614E+04   0.254628E-01   0.901430E-04   0.343830E+01
    31   0.159924E+04   0.272120E-01   0.962299E-04   0.329640E+01
    32   0.159396E+04   0.293726E-01   0.102521E-03   0.317044E+01
    33   0.159015E+04   0.319246E-01   0.109015E-03   0.306260E+01
    34   0.158752E+04   0.348491E-01   0.115714E-03   0.297466E+01
    35   0.158600E+04   0.381003E-01   0.122617E-03   0.290718E+01
    36   0.158547E+04   0.416302E-01   0.129724E-03   0.285624E+01
    37   0.158596E+04   0.453756E-01   0.137037E-03   0.280507E+01
    38   0.158779E+04   0.492906E-01   0.144553E-03   0.273937E+01
    39   0.159086E+04   0.533875E-01   0.152275E-03   0.265891E+01
    40   0.159479E+04   0.576982E-01   0.160201E-03   0.256672E+01
