#    L    TT             EE             BB             TE          
     2   0.276711E+04   0.447404E-01   0.533345E-06   0.368192E+00
     3   0.284941E+04   0.706073E-01   0.106683E-05  -0.193901E+00
     4   0.285587E+04   0.769097E-01   0.177835E-05   0.254227E+00
     5   0.282015E+04   0.677704E-01   0.266811E-05   0.159234E+01
     6   0.275877E+04   0.536686E-01   0.373631E-05   0.346680E+01
     7   0.268354E+04   0.433522E-01   0.498323E-05   0.545858E+01
     8   0.260035E+04   0.401769E-01   0.640917E-05   0.720577E+01
     9   0.251357E+04   0.425465E-01   0.801447E-05   0.846702E+01
    10   0.242825E+04   0.465450E-01   0.979952E-05   0.914918E+01
    11   0.235044E+04   0.486118E-01   0.117647E-04   0.928127E+01
    12   0.228216E+04   0.470349E-01   0.139105E-04   0.896008E+01
    13   0.221977E+04   0.421290E-01   0.162373E-04   0.832152E+01
    14   0.216039E+04   0.354468E-01   0.187457E-04   0.750699E+01
    15   0.210421E+04   0.286334E-01   0.214361E-04   0.665781E+01
    16   0.205209E+04   0.230858E-01   0.243091E-04   0.589972E+01
    17   0.200458E+04   0.193380E-01   0.273651E-04   0.529300E+01
    18   0.196123E+04   0.173997E-01   0.306048E-04   0.487081E+01
    19   0.192250E+04   0.168944E-01   0.340286E-04   0.461637E+01
    20   0.188626E+04   0.174084E-01   0.376371E-04   0.449532E+01
    21   0.185286E+04   0.184965E-01   0.414308E-04   0.446723E+01
    22   0.182262E+04   0.198170E-01   0.454102E-04   0.448899E+01
    23   0.179530E+04   0.211130E-01   0.495760E-04   0.451788E+01
    24   0.177086E+04   0.221592E-01   0.539284E-04   0.451666E+01
    25   0.174915E+04   0.229443E-01   0.584681E-04   0.446943E+01
    26   0.172988E+04   0.234960E-01   0.631955E-04   0.437096E+01
    27   0.171312E+04   0.239515E-01   0.681111E-04   0.423014E+01
    28   0.169858E+04   0.244970E-01   0.732151E-04   0.406128E+01
    29   0.168613E+04   0.252940E-01   0.785081E-04   0.388110E+01
    30   0.167550E+04   0.264834E-01   0.839903E-04   0.370402E+01
    31   0.166643E+04   0.281098E-01   0.896621E-04   0.353912E+01
    32   0.165906E+04   0.301756E-01   0.955238E-04   0.339306E+01
    33   0.165324E+04   0.326581E-01   0.101575E-03   0.326826E+01
    34   0.164869E+04   0.355335E-01   0.107818E-03   0.316648E+01
    35   0.164531E+04   0.387492E-01   0.114250E-03   0.308788E+01
    36   0.164300E+04   0.422505E-01   0.120873E-03   0.302803E+01
    37   0.164177E+04   0.459692E-01   0.127687E-03   0.296946E+01
    38   0.164196E+04   0.498563E-01   0.134691E-03   0.289721E+01
    39   0.164344E+04   0.539232E-01   0.141887E-03   0.281058E+01
    40   0.164586E+04   0.582021E-01   0.149273E-03   0.271221E+01
    41   0.164924E+04   0.627251E-01   0.156849E-03   0.260380E+01
    42   0.165329E+04   0.675049E-01   0.164617E-03   0.248401E+01
    43   0.165812E+04   0.725491E-01   0.172575E-03   0.235076E+01
    44   0.166355E+04   0.778503E-01   0.180723E-03   0.220286E+01
    45   0.166991E+04   0.834115E-01   0.189062E-03   0.203920E+01
    46   0.167708E+04   0.892384E-01   0.197590E-03   0.185755E+01
    47   0.168489E+04   0.953329E-01   0.206309E-03   0.166106E+01
    48   0.169324E+04   0.101703E+00   0.215217E-03   0.145688E+01
    49   0.170218E+04   0.108336E+00   0.224315E-03   0.125159E+01
    50   0.171190E+04   0.115209E+00   0.233602E-03   0.104495E+01
    51   0.172215E+04   0.122296E+00   0.243078E-03   0.834457E+00
    52   0.173316E+04   0.129678E+00   0.252743E-03   0.614086E+00
    53   0.174454E+04   0.137499E+00   0.262596E-03   0.378771E+00
    54   0.175623E+04   0.145747E+00   0.272638E-03   0.131419E+00
    55   0.176843E+04   0.154392E+00   0.282868E-03  -0.124948E+00
    56   0.178136E+04   0.163289E+00   0.293286E-03  -0.393149E+00
    57   0.179493E+04   0.172331E+00   0.303892E-03  -0.673060E+00
    58   0.180911E+04   0.181532E+00   0.314686E-03  -0.965056E+00
    59   0.182372E+04   0.190933E+00   0.325667E-03  -0.126953E+01
    60   0.183874E+04   0.200592E+00   0.336836E-03  -0.158545E+01
    61   0.185444E+04   0.210605E+00   0.348193E-03  -0.191172E+01
    62   0.187021E+04   0.220954E+00   0.359736E-03  -0.224938E+01
    63   0.188628E+04   0.231592E+00   0.371468E-03  -0.259966E+01
    64   0.190292E+04   0.242524E+00   0.383386E-03  -0.296399E+01
    65   0.191977E+04   0.253720E+00   0.395493E-03  -0.334322E+01
    66   0.193710E+04   0.265107E+00   0.407787E-03  -0.373576E+01
    67   0.195476E+04   0.276684E+00   0.420269E-03  -0.413938E+01
    68   0.197301E+04   0.288494E+00   0.432939E-03  -0.455297E+01
    69   0.199163E+04   0.300496E+00   0.445798E-03  -0.497536E+01
    70   0.201074E+04   0.312731E+00   0.458846E-03  -0.540877E+01
    71   0.203019E+04   0.325189E+00   0.472083E-03  -0.585587E+01
    72   0.204999E+04   0.337850E+00   0.485509E-03  -0.631695E+01
    73   0.207010E+04   0.350687E+00   0.499126E-03  -0.679128E+01
    74   0.209055E+04   0.363696E+00   0.512933E-03  -0.727658E+01
    75   0.211145E+04   0.376895E+00   0.526932E-03  -0.777003E+01
    76   0.213274E+04   0.390289E+00   0.541122E-03  -0.827003E+01
    77   0.215447E+04   0.403866E+00   0.555505E-03  -0.877705E+01
    78   0.217666E+04   0.417644E+00   0.570081E-03  -0.929360E+01
    79   0.219911E+04   0.431561E+00   0.584851E-03  -0.981693E+01
    80   0.222193E+04   0.445613E+00   0.599816E-03  -0.103495E+02
    81   0.224501E+04   0.459745E+00   0.614977E-03  -0.108928E+02
    82   0.226843E+04   0.473977E+00   0.630333E-03  -0.114460E+02
    83   0.229212E+04   0.488286E+00   0.645888E-03  -0.120088E+02
    84   0.231616E+04   0.502669E+00   0.661640E-03  -0.125794E+02
    85   0.234042E+04   0.517102E+00   0.677592E-03  -0.131589E+02
    86   0.236497E+04   0.531598E+00   0.693744E-03  -0.137462E+02
    87   0.239004E+04   0.546129E+00   0.710097E-03  -0.143403E+02
    88   0.241518E+04   0.560713E+00   0.726652E-03  -0.149406E+02
    89   0.244075E+04   0.575336E+00   0.743411E-03  -0.155481E+02
    90   0.246660E+04   0.589963E+00   0.760374E-03  -0.161596E+02
    91   0.249266E+04   0.604588E+00   0.777543E-03  -0.167754E+02
    92   0.251907E+04   0.619198E+00   0.794918E-03  -0.173947E+02
    93   0.254583E+04   0.633786E+00   0.812501E-03  -0.180177E+02
    94   0.257272E+04   0.648314E+00   0.830293E-03  -0.186429E+02
    95   0.259995E+04   0.662784E+00   0.848295E-03  -0.192713E+02
    96   0.262724E+04   0.677181E+00   0.866508E-03  -0.199023E+02
    97   0.265502E+04   0.691490E+00   0.884933E-03  -0.205351E+02
    98   0.268307E+04   0.705704E+00   0.903572E-03  -0.211677E+02
    99   0.271124E+04   0.719788E+00   0.922425E-03  -0.218031E+02
   100   0.273975E+04   0.733741E+00   0.941495E-03  -0.224370E+02
   101   0.276846E+04   0.747623E+00   0.960781E-03  -0.230726E+02
   102   0.279773E+04   0.761286E+00   0.980285E-03  -0.237075E+02
   103   0.282697E+04   0.774805E+00   0.100001E-02  -0.243428E+02
   104   0.285647E+04   0.788180E+00   0.101995E-02  -0.249756E+02
   105   0.288617E+04   0.801338E+00   0.104012E-02  -0.256074E+02
   106   0.291612E+04   0.814354E+00   0.106051E-02  -0.262376E+02
   107   0.294604E+04   0.827078E+00   0.108112E-02  -0.268648E+02
   108   0.297636E+04   0.839587E+00   0.110196E-02  -0.274900E+02
   109   0.300687E+04   0.851806E+00   0.112302E-02  -0.281117E+02
   110   0.303750E+04   0.863735E+00   0.114432E-02  -0.287285E+02
   111   0.306830E+04   0.875450E+00   0.116584E-02  -0.293421E+02
   112   0.309928E+04   0.886877E+00   0.118759E-02  -0.299516E+02
   113   0.313052E+04   0.898015E+00   0.120957E-02  -0.305555E+02
   114   0.316186E+04   0.908791E+00   0.123179E-02  -0.311531E+02
   115   0.319345E+04   0.919355E+00   0.125424E-02  -0.317442E+02
   116   0.322507E+04   0.929483E+00   0.127692E-02  -0.323282E+02
   117   0.325701E+04   0.939251E+00   0.129985E-02  -0.329041E+02
   118   0.328912E+04   0.948807E+00   0.132301E-02  -0.334728E+02
   119   0.332125E+04   0.958004E+00   0.134641E-02  -0.340318E+02
   120   0.335355E+04   0.966692E+00   0.137005E-02  -0.345813E+02
   121   0.338586E+04   0.975171E+00   0.139393E-02  -0.351211E+02
   122   0.341827E+04   0.983142E+00   0.141806E-02  -0.356504E+02
   123   0.345077E+04   0.990681E+00   0.144243E-02  -0.361692E+02
   124   0.348335E+04   0.997862E+00   0.146705E-02  -0.366745E+02
   125   0.351595E+04   0.100461E+01   0.149192E-02  -0.371685E+02
   126   0.354863E+04   0.101101E+01   0.151704E-02  -0.376503E+02
   127   0.358131E+04   0.101689E+01   0.154241E-02  -0.381192E+02
   128   0.361401E+04   0.102243E+01   0.156803E-02  -0.385745E+02
   129   0.364678E+04   0.102745E+01   0.159391E-02  -0.390152E+02
   130   0.367956E+04   0.103198E+01   0.162004E-02  -0.394406E+02
   131   0.371234E+04   0.103615E+01   0.164644E-02  -0.398522E+02
   132   0.374520E+04   0.103982E+01   0.167309E-02  -0.402470E+02
   133   0.377798E+04   0.104306E+01   0.170000E-02  -0.406274E+02
   134   0.381077E+04   0.104587E+01   0.172718E-02  -0.409888E+02
   135   0.384356E+04   0.104818E+01   0.175462E-02  -0.413344E+02
   136   0.387622E+04   0.104999E+01   0.178233E-02  -0.416605E+02
   137   0.390887E+04   0.105137E+01   0.181031E-02  -0.419693E+02
   138   0.394146E+04   0.105225E+01   0.183855E-02  -0.422595E+02
   139   0.397384E+04   0.105278E+01   0.186707E-02  -0.425302E+02
   140   0.400629E+04   0.105273E+01   0.189587E-02  -0.427824E+02
   141   0.403854E+04   0.105219E+01   0.192493E-02  -0.430139E+02
   142   0.407079E+04   0.105121E+01   0.195428E-02  -0.432254E+02
