#    L    TT             EE             BB             TE          
     2   0.147905E+04   0.543224E-01   0.132123E-05   0.277053E+01
     3   0.142524E+04   0.878421E-01   0.264287E-05   0.352000E+01
     4   0.135241E+04   0.974789E-01   0.440568E-05   0.382497E+01
     5   0.128392E+04   0.852316E-01   0.661021E-05   0.375456E+01
     6   0.122709E+04   0.620358E-01   0.925713E-05   0.342508E+01
     7   0.118224E+04   0.389460E-01   0.123472E-04   0.295831E+01
     8   0.114633E+04   0.223037E-01   0.158813E-04   0.246038E+01
     9   0.111824E+04   0.131982E-01   0.198605E-04   0.200440E+01
    10   0.109693E+04   0.951452E-02   0.242859E-04   0.163167E+01
    11   0.108081E+04   0.838576E-02   0.291586E-04   0.136493E+01
    12   0.106981E+04   0.783003E-02   0.344800E-04   0.120895E+01
    13   0.106200E+04   0.699895E-02   0.402513E-04   0.114107E+01
    14   0.105628E+04   0.609390E-02   0.464740E-04   0.113262E+01
    15   0.105280E+04   0.540424E-02   0.531496E-04   0.116320E+01
    16   0.105185E+04   0.513458E-02   0.602795E-04   0.121622E+01
    17   0.105327E+04   0.528285E-02   0.678652E-04   0.127887E+01
    18   0.105605E+04   0.560915E-02   0.759084E-04   0.134133E+01
    19   0.106093E+04   0.597743E-02   0.844104E-04   0.139508E+01
    20   0.106618E+04   0.636274E-02   0.933730E-04   0.143257E+01
    21   0.107211E+04   0.681367E-02   0.102797E-03   0.146332E+01
    22   0.107899E+04   0.746589E-02   0.112685E-03   0.149695E+01
    23   0.108660E+04   0.837049E-02   0.123038E-03   0.153158E+01
    24   0.109495E+04   0.951903E-02   0.133857E-03   0.156370E+01
    25   0.110393E+04   0.109207E-01   0.145144E-03   0.159474E+01
    26   0.111334E+04   0.125453E-01   0.156899E-03   0.162880E+01
    27   0.112335E+04   0.143517E-01   0.169124E-03   0.166844E+01
    28   0.113381E+04   0.163292E-01   0.181821E-03   0.171545E+01
    29   0.114479E+04   0.184862E-01   0.194989E-03   0.176481E+01
    30   0.115621E+04   0.208381E-01   0.208630E-03   0.180896E+01
    31   0.116796E+04   0.233688E-01   0.222745E-03   0.184324E+01
    32   0.118025E+04   0.260517E-01   0.237334E-03   0.186406E+01
    33   0.119306E+04   0.288975E-01   0.252398E-03   0.186952E+01
    34   0.120620E+04   0.319361E-01   0.267937E-03   0.186003E+01
    35   0.121963E+04   0.351896E-01   0.283952E-03   0.184083E+01
    36   0.123329E+04   0.386790E-01   0.300443E-03   0.181555E+01
    37   0.124717E+04   0.423973E-01   0.317409E-03   0.178070E+01
    38   0.126159E+04   0.463406E-01   0.334852E-03   0.173420E+01
    39   0.127651E+04   0.505205E-01   0.352770E-03   0.167790E+01
    40   0.129166E+04   0.549575E-01   0.371163E-03   0.161443E+01
    41   0.130713E+04   0.596726E-01   0.390032E-03   0.154534E+01
    42   0.132268E+04   0.646669E-01   0.409375E-03   0.146867E+01
    43   0.133846E+04   0.699365E-01   0.429193E-03   0.138160E+01
    44   0.135431E+04   0.754627E-01   0.449484E-03   0.128219E+01
    45   0.137059E+04   0.812372E-01   0.470248E-03   0.116861E+01
    46   0.138722E+04   0.872565E-01   0.491484E-03   0.103773E+01
    47   0.140407E+04   0.935231E-01   0.513192E-03   0.891343E+00
    48   0.142107E+04   0.100048E+00   0.535370E-03   0.735095E+00
    49   0.143832E+04   0.106821E+00   0.558018E-03   0.574045E+00
    50   0.145604E+04   0.113822E+00   0.581135E-03   0.406468E+00
    51   0.147402E+04   0.121028E+00   0.604720E-03   0.228810E+00
    52   0.149247E+04   0.128521E+00   0.628772E-03   0.358267E-01
    53   0.151099E+04   0.136445E+00   0.653291E-03  -0.176301E+00
    54   0.152949E+04   0.144786E+00   0.678275E-03  -0.403422E+00
    55   0.154817E+04   0.153518E+00   0.703724E-03  -0.641271E+00
    56   0.156723E+04   0.162494E+00   0.729637E-03  -0.891654E+00
    57   0.158662E+04   0.171608E+00   0.756014E-03  -0.115436E+01
    58   0.160634E+04   0.180871E+00   0.782853E-03  -0.142990E+01
    59   0.162627E+04   0.190325E+00   0.810155E-03  -0.171881E+01
    60   0.164641E+04   0.200026E+00   0.837918E-03  -0.202020E+01
    61   0.166709E+04   0.210071E+00   0.866143E-03  -0.233306E+01
    62   0.168769E+04   0.220444E+00   0.894830E-03  -0.265839E+01
    63   0.170845E+04   0.231103E+00   0.923978E-03  -0.299727E+01
    64   0.172965E+04   0.242058E+00   0.953588E-03  -0.335104E+01
    65   0.175092E+04   0.253281E+00   0.983659E-03  -0.372042E+01
    66   0.177254E+04   0.264703E+00   0.101419E-02  -0.410362E+01
    67   0.179434E+04   0.276325E+00   0.104519E-02  -0.449783E+01
    68   0.181661E+04   0.288190E+00   0.107664E-02  -0.490127E+01
    69   0.183909E+04   0.300256E+00   0.110857E-02  -0.531212E+01
    70   0.186191E+04   0.312565E+00   0.114095E-02  -0.573194E+01
    71   0.188491E+04   0.325107E+00   0.117380E-02  -0.616306E+01
