#    L    TT             EE             BB             TE          
     2   0.196483E+04   0.364193E-01   0.750718E-06  -0.229902E+00
     3   0.204669E+04   0.607290E-01   0.150163E-05  -0.594462E+00
     4   0.205765E+04   0.677134E-01   0.250316E-05  -0.185500E+00
     5   0.203111E+04   0.597252E-01   0.375557E-05   0.827293E+00
     6   0.198430E+04   0.458768E-01   0.525916E-05   0.215776E+01
     7   0.192837E+04   0.344447E-01   0.701434E-05   0.350612E+01
     8   0.186822E+04   0.290716E-01   0.902152E-05   0.463293E+01
     9   0.180695E+04   0.288526E-01   0.112812E-04   0.538985E+01
    10   0.174786E+04   0.306195E-01   0.137939E-04   0.573677E+01
    11   0.169494E+04   0.313589E-01   0.165603E-04   0.571806E+01
    12   0.165013E+04   0.296065E-01   0.195809E-04   0.541986E+01
    13   0.161057E+04   0.255215E-01   0.228564E-04   0.493891E+01
    14   0.157398E+04   0.203780E-01   0.263875E-04   0.437051E+01
    15   0.154043E+04   0.154097E-01   0.301749E-04   0.380706E+01
    16   0.151041E+04   0.116124E-01   0.342193E-04   0.332909E+01
    17   0.148426E+04   0.929097E-02   0.385216E-04   0.296940E+01
    18   0.146137E+04   0.831416E-02   0.430824E-04   0.274245E+01
    19   0.144228E+04   0.834555E-02   0.479025E-04   0.263052E+01
    20   0.142495E+04   0.907045E-02   0.529827E-04   0.260485E+01
    21   0.140966E+04   0.101992E-01   0.583238E-04   0.263931E+01
    22   0.139671E+04   0.115471E-01   0.639264E-04   0.270673E+01
    23   0.138585E+04   0.129655E-01   0.697913E-04   0.277832E+01
    24   0.137707E+04   0.143078E-01   0.759192E-04   0.282864E+01
    25   0.137022E+04   0.155696E-01   0.823109E-04   0.284744E+01
    26   0.136503E+04   0.167569E-01   0.889668E-04   0.283227E+01
    27   0.136161E+04   0.179395E-01   0.958877E-04   0.278954E+01
    28   0.135969E+04   0.192295E-01   0.103074E-03   0.272915E+01
    29   0.135921E+04   0.207300E-01   0.110526E-03   0.266089E+01
    30   0.135999E+04   0.225338E-01   0.118245E-03   0.259208E+01
    31   0.136179E+04   0.246614E-01   0.126231E-03   0.252649E+01
    32   0.136477E+04   0.271033E-01   0.134484E-03   0.246662E+01
    33   0.136884E+04   0.298505E-01   0.143005E-03   0.241360E+01
    34   0.137374E+04   0.329013E-01   0.151794E-03   0.236904E+01
