#    L    TT             EE             BB             TE          
     2   0.186434E+04   0.484014E-01   0.774308E-06   0.135193E+01
     3   0.183645E+04   0.765984E-01   0.154883E-05   0.112237E+01
     4   0.179038E+04   0.831665E-01   0.258187E-05   0.117395E+01
     5   0.174110E+04   0.716614E-01   0.387370E-05   0.162491E+01
     6   0.169169E+04   0.529467E-01   0.542469E-05   0.238218E+01
     7   0.164428E+04   0.367915E-01   0.723523E-05   0.325337E+01
     8   0.159873E+04   0.277501E-01   0.930582E-05   0.404409E+01
     9   0.155494E+04   0.252500E-01   0.116370E-04   0.460937E+01
    10   0.151418E+04   0.260318E-01   0.142293E-04   0.488736E+01
    11   0.147892E+04   0.267617E-01   0.170835E-04   0.488873E+01
    12   0.145051E+04   0.255907E-01   0.202001E-04   0.466619E+01
    13   0.142608E+04   0.223570E-01   0.235799E-04   0.429017E+01
    14   0.140347E+04   0.180684E-01   0.272237E-04   0.383353E+01
    15   0.138285E+04   0.138349E-01   0.311322E-04   0.337477E+01
    16   0.136479E+04   0.105847E-01   0.353062E-04   0.298459E+01
    17   0.134959E+04   0.863622E-02   0.397466E-04   0.269367E+01
    18   0.133662E+04   0.789386E-02   0.444542E-04   0.251712E+01
    19   0.132651E+04   0.806518E-02   0.494297E-04   0.244124E+01
    20   0.131735E+04   0.887703E-02   0.546741E-04   0.244173E+01
    21   0.130952E+04   0.100632E-01   0.601882E-04   0.249526E+01
    22   0.130336E+04   0.114553E-01   0.659727E-04   0.257702E+01
    23   0.129868E+04   0.129098E-01   0.720284E-04   0.266036E+01
    24   0.129553E+04   0.142814E-01   0.783561E-04   0.272172E+01
    25   0.129382E+04   0.155649E-01   0.849566E-04   0.275158E+01
    26   0.129332E+04   0.167652E-01   0.918304E-04   0.274762E+01
    27   0.129420E+04   0.179522E-01   0.989783E-04   0.271497E+01
    28   0.129624E+04   0.192390E-01   0.106401E-03   0.266223E+01
    29   0.129941E+04   0.207315E-01   0.114099E-03   0.259933E+01
    30   0.130353E+04   0.225254E-01   0.122072E-03   0.253412E+01
    31   0.130843E+04   0.246442E-01   0.130322E-03   0.247131E+01
    32   0.131427E+04   0.270805E-01   0.138848E-03   0.241417E+01
    33   0.132099E+04   0.298259E-01   0.147651E-03   0.236360E+01
    34   0.132837E+04   0.328779E-01   0.156731E-03   0.232085E+01
    35   0.133633E+04   0.362132E-01   0.166089E-03   0.228783E+01
    36   0.134480E+04   0.398063E-01   0.175724E-03   0.226291E+01
    37   0.135383E+04   0.436119E-01   0.185637E-03   0.223337E+01
    38   0.136374E+04   0.475982E-01   0.195827E-03   0.218869E+01
    39   0.137447E+04   0.517775E-01   0.206296E-03   0.212946E+01
    40   0.138568E+04   0.561791E-01   0.217041E-03   0.205885E+01
    41   0.139744E+04   0.608320E-01   0.228065E-03   0.197892E+01
    42   0.140949E+04   0.657451E-01   0.239365E-03   0.188816E+01
    43   0.142197E+04   0.709219E-01   0.250943E-03   0.178422E+01
    44   0.143470E+04   0.763511E-01   0.262797E-03   0.166561E+01
    45   0.144805E+04   0.820319E-01   0.274928E-03   0.153093E+01
    46   0.146192E+04   0.879667E-01   0.287336E-03   0.137762E+01
    47   0.147615E+04   0.941582E-01   0.300019E-03   0.120844E+01
    48   0.149066E+04   0.100616E+00   0.312977E-03   0.103008E+01
    49   0.150551E+04   0.107328E+00   0.326211E-03   0.848689E+00
    50   0.152092E+04   0.114274E+00   0.339720E-03   0.663593E+00
    51   0.153666E+04   0.121429E+00   0.353502E-03   0.472000E+00
    52   0.155294E+04   0.128875E+00   0.367559E-03   0.268204E+00
    53   0.156939E+04   0.136755E+00   0.381889E-03   0.476197E-01
    54   0.158594E+04   0.145057E+00   0.396493E-03  -0.186369E+00
    55   0.160281E+04   0.153752E+00   0.411369E-03  -0.430265E+00
    56   0.162021E+04   0.162695E+00   0.426518E-03  -0.686497E+00
    57   0.163807E+04   0.171779E+00   0.441939E-03  -0.954917E+00
    58   0.165636E+04   0.181017E+00   0.457631E-03  -0.123596E+01
    59   0.167494E+04   0.190450E+00   0.473596E-03  -0.153008E+01
    60   0.169379E+04   0.200137E+00   0.489832E-03  -0.183631E+01
    61   0.171319E+04   0.210173E+00   0.506339E-03  -0.215359E+01
    62   0.173255E+04   0.220541E+00   0.523118E-03  -0.248293E+01
    63   0.175208E+04   0.231197E+00   0.540168E-03  -0.282550E+01
    64   0.177209E+04   0.242147E+00   0.557489E-03  -0.318268E+01
    65   0.179220E+04   0.253361E+00   0.575082E-03  -0.355525E+01
    66   0.181270E+04   0.264768E+00   0.592946E-03  -0.394154E+01
    67   0.183343E+04   0.276369E+00   0.611083E-03  -0.433907E+01
    68   0.185466E+04   0.288205E+00   0.629491E-03  -0.474645E+01
    69   0.187615E+04   0.300237E+00   0.648173E-03  -0.516224E+01
    70   0.189804E+04   0.312505E+00   0.667127E-03  -0.558840E+01
    71   0.192016E+04   0.324999E+00   0.686356E-03  -0.602743E+01
    72   0.194254E+04   0.337697E+00   0.705858E-03  -0.648004E+01
    73   0.196514E+04   0.350569E+00   0.725636E-03  -0.694600E+01
    74   0.198801E+04   0.363609E+00   0.745689E-03  -0.742358E+01
    75   0.201125E+04   0.376832E+00   0.766019E-03  -0.791047E+01
    76   0.203482E+04   0.390242E+00   0.786627E-03  -0.840545E+01
    77   0.205875E+04   0.403826E+00   0.807513E-03  -0.890877E+01
    78   0.208309E+04   0.417608E+00   0.828679E-03  -0.942252E+01
    79   0.210763E+04   0.431527E+00   0.850126E-03  -0.994361E+01
    80   0.213250E+04   0.445582E+00   0.871854E-03  -0.104741E+02
    81   0.215757E+04   0.459719E+00   0.893866E-03  -0.110151E+02
    82   0.218292E+04   0.473960E+00   0.916162E-03  -0.115658E+02
    83   0.220850E+04   0.488280E+00   0.938744E-03  -0.121257E+02
    84   0.223437E+04   0.502676E+00   0.961613E-03  -0.126930E+02
    85   0.226041E+04   0.517125E+00   0.984771E-03  -0.132687E+02
    86   0.228669E+04   0.531640E+00   0.100822E-02  -0.138518E+02
    87   0.231344E+04   0.546190E+00   0.103196E-02  -0.144412E+02
    88   0.234020E+04   0.560793E+00   0.105599E-02  -0.150367E+02
    89   0.236736E+04   0.575435E+00   0.108032E-02  -0.156396E+02
    90   0.239476E+04   0.590081E+00   0.110494E-02  -0.162466E+02
    91   0.242232E+04   0.604723E+00   0.112986E-02  -0.168583E+02
    92   0.245019E+04   0.619348E+00   0.115508E-02  -0.174740E+02
    93   0.247837E+04   0.633950E+00   0.118060E-02  -0.180937E+02
    94   0.250665E+04   0.648490E+00   0.120642E-02  -0.187161E+02
    95   0.253523E+04   0.662971E+00   0.123255E-02  -0.193420E+02
    96   0.256383E+04   0.677378E+00   0.125898E-02  -0.199707E+02
    97   0.259290E+04   0.691696E+00   0.128573E-02  -0.206015E+02
    98   0.262219E+04   0.705918E+00   0.131278E-02  -0.212324E+02
    99   0.265158E+04   0.720009E+00   0.134014E-02  -0.218663E+02
   100   0.268128E+04   0.733968E+00   0.136781E-02  -0.224989E+02
   101   0.271114E+04   0.747856E+00   0.139580E-02  -0.231333E+02
   102   0.274154E+04   0.761524E+00   0.142411E-02  -0.237673E+02
   103   0.277188E+04   0.775048E+00   0.145273E-02  -0.244016E+02
   104   0.280245E+04   0.788428E+00   0.148168E-02  -0.250336E+02
   105   0.283319E+04   0.801591E+00   0.151094E-02  -0.256646E+02
   106   0.286416E+04   0.814610E+00   0.154053E-02  -0.262940E+02
   107   0.289508E+04   0.827340E+00   0.157044E-02  -0.269205E+02
   108   0.292637E+04   0.839853E+00   0.160068E-02  -0.275449E+02
   109   0.295784E+04   0.852076E+00   0.163125E-02  -0.281657E+02
   110   0.298938E+04   0.864011E+00   0.166215E-02  -0.287815E+02
   111   0.302110E+04   0.875732E+00   0.169338E-02  -0.293940E+02
   112   0.305297E+04   0.887164E+00   0.172495E-02  -0.300023E+02
   113   0.308508E+04   0.898309E+00   0.175685E-02  -0.306049E+02
   114   0.311727E+04   0.909093E+00   0.178909E-02  -0.312011E+02
   115   0.314969E+04   0.919664E+00   0.182168E-02  -0.317907E+02
   116   0.318212E+04   0.929801E+00   0.185460E-02  -0.323731E+02
   117   0.321486E+04   0.939577E+00   0.188787E-02  -0.329475E+02
   118   0.324774E+04   0.949142E+00   0.192148E-02  -0.335144E+02
   119   0.328063E+04   0.958347E+00   0.195545E-02  -0.340718E+02
   120   0.331368E+04   0.967045E+00   0.198976E-02  -0.346195E+02
   121   0.334672E+04   0.975533E+00   0.202443E-02  -0.351575E+02
   122   0.337984E+04   0.983514E+00   0.205946E-02  -0.356851E+02
   123   0.341303E+04   0.991064E+00   0.209484E-02  -0.362022E+02
   124   0.344630E+04   0.998256E+00   0.213058E-02  -0.367057E+02
   125   0.347956E+04   0.100502E+01   0.216669E-02  -0.371979E+02
   126   0.351288E+04   0.101142E+01   0.220316E-02  -0.376780E+02
   127   0.354621E+04   0.101732E+01   0.224000E-02  -0.381453E+02
   128   0.357952E+04   0.102287E+01   0.227721E-02  -0.385989E+02
   129   0.361290E+04   0.102791E+01   0.231480E-02  -0.390380E+02
   130   0.364628E+04   0.103244E+01   0.235276E-02  -0.394619E+02
   131   0.367964E+04   0.103663E+01   0.239110E-02  -0.398721E+02
   132   0.371306E+04   0.104031E+01   0.242983E-02  -0.402656E+02
   133   0.374640E+04   0.104356E+01   0.246894E-02  -0.406447E+02
   134   0.377974E+04   0.104638E+01   0.250843E-02  -0.410049E+02
   135   0.381306E+04   0.104871E+01   0.254832E-02  -0.413494E+02
   136   0.384624E+04   0.105053E+01   0.258860E-02  -0.416743E+02
   137   0.387940E+04   0.105192E+01   0.262928E-02  -0.419821E+02
   138   0.391249E+04   0.105282E+01   0.267036E-02  -0.422713E+02
   139   0.394535E+04   0.105336E+01   0.271184E-02  -0.425411E+02
   140   0.397829E+04   0.105333E+01   0.275372E-02  -0.427924E+02
   141   0.401100E+04   0.105280E+01   0.279602E-02  -0.430229E+02
   142   0.404370E+04   0.105185E+01   0.283873E-02  -0.432335E+02
   143   0.407634E+04   0.105047E+01   0.288185E-02  -0.434243E+02
   144   0.410876E+04   0.104859E+01   0.292538E-02  -0.435945E+02
   145   0.414102E+04   0.104636E+01   0.296934E-02  -0.437434E+02
   146   0.417337E+04   0.104357E+01   0.301372E-02  -0.438711E+02
   147   0.420535E+04   0.104042E+01   0.305853E-02  -0.439761E+02
   148   0.423719E+04   0.103677E+01   0.310376E-02  -0.440600E+02
   149   0.426896E+04   0.103271E+01   0.314942E-02  -0.441214E+02
   150   0.430043E+04   0.102829E+01   0.319552E-02  -0.441580E+02
   151   0.433177E+04   0.102346E+01   0.324205E-02  -0.441728E+02
   152   0.436282E+04   0.101813E+01   0.328901E-02  -0.441645E+02
   153   0.439373E+04   0.101245E+01   0.333642E-02  -0.441307E+02
   154   0.442442E+04   0.100642E+01   0.338426E-02  -0.440736E+02
   155   0.445490E+04   0.100004E+01   0.343255E-02  -0.439926E+02
   156   0.448500E+04   0.993318E+00   0.348128E-02  -0.438876E+02
   157   0.451504E+04   0.986245E+00   0.353045E-02  -0.437571E+02
   158   0.454478E+04   0.978897E+00   0.358007E-02  -0.436019E+02
   159   0.457423E+04   0.971125E+00   0.363014E-02  -0.434219E+02
   160   0.460346E+04   0.963078E+00   0.368066E-02  -0.432157E+02
   161   0.463246E+04   0.954829E+00   0.373162E-02  -0.429847E+02
   162   0.466117E+04   0.946230E+00   0.378303E-02  -0.427289E+02
   163   0.468973E+04   0.937355E+00   0.383489E-02  -0.424469E+02
   164   0.471784E+04   0.928278E+00   0.388720E-02  -0.421400E+02
   165   0.474580E+04   0.918924E+00   0.393996E-02  -0.418062E+02
   166   0.477346E+04   0.909441E+00   0.399317E-02  -0.414468E+02
   167   0.480089E+04   0.899607E+00   0.404682E-02  -0.410626E+02
   168   0.482788E+04   0.889792E+00   0.410093E-02  -0.406513E+02
   169   0.485456E+04   0.879700E+00   0.415547E-02  -0.402130E+02
   170   0.488093E+04   0.869552E+00   0.421046E-02  -0.397491E+02
   171   0.490686E+04   0.859348E+00   0.426590E-02  -0.392574E+02
   172   0.493241E+04   0.849015E+00   0.432177E-02  -0.387393E+02
   173   0.495750E+04   0.838550E+00   0.437809E-02  -0.381949E+02
   174   0.498228E+04   0.828252E+00   0.443484E-02  -0.376242E+02
   175   0.500669E+04   0.817823E+00   0.449203E-02  -0.370264E+02
   176   0.503056E+04   0.807486E+00   0.454966E-02  -0.364014E+02
   177   0.505405E+04   0.797165E+00   0.460771E-02  -0.357509E+02
   178   0.507709E+04   0.787082E+00   0.466619E-02  -0.350733E+02
   179   0.509968E+04   0.776939E+00   0.472509E-02  -0.343685E+02
   180   0.512196E+04   0.766959E+00   0.478442E-02  -0.336382E+02
   181   0.514371E+04   0.757141E+00   0.484417E-02  -0.328824E+02
   182   0.516501E+04   0.747558E+00   0.490433E-02  -0.320994E+02
   183   0.518579E+04   0.738136E+00   0.496490E-02  -0.312909E+02
   184   0.520619E+04   0.728946E+00   0.502589E-02  -0.304561E+02
   185   0.522614E+04   0.720139E+00   0.508727E-02  -0.295972E+02
   186   0.524527E+04   0.711570E+00   0.514906E-02  -0.287113E+02
   187   0.526425E+04   0.703381E+00   0.521124E-02  -0.277998E+02
   188   0.528271E+04   0.695556E+00   0.527382E-02  -0.268643E+02
   189   0.530058E+04   0.688132E+00   0.533678E-02  -0.259033E+02
   190   0.531829E+04   0.681159E+00   0.540013E-02  -0.249190E+02
   191   0.533512E+04   0.674658E+00   0.546385E-02  -0.239084E+02
   192   0.535158E+04   0.668653E+00   0.552796E-02  -0.228739E+02
   193   0.536745E+04   0.663185E+00   0.559243E-02  -0.218168E+02
   194   0.538295E+04   0.658284E+00   0.565727E-02  -0.207349E+02
   195   0.539786E+04   0.653986E+00   0.572246E-02  -0.196306E+02
   196   0.541218E+04   0.650328E+00   0.578802E-02  -0.185030E+02
   197   0.542606E+04   0.647353E+00   0.585392E-02  -0.173537E+02
   198   0.543943E+04   0.645083E+00   0.592017E-02  -0.161819E+02
   199   0.545228E+04   0.643553E+00   0.598676E-02  -0.149883E+02
   200   0.546463E+04   0.642794E+00   0.605369E-02  -0.137738E+02
   201   0.547639E+04   0.642862E+00   0.612095E-02  -0.125375E+02
   202   0.548764E+04   0.643765E+00   0.618853E-02  -0.112810E+02
   203   0.549830E+04   0.645562E+00   0.625643E-02  -0.100035E+02
   204   0.550831E+04   0.648272E+00   0.632465E-02  -0.870792E+01
   205   0.551780E+04   0.651941E+00   0.639317E-02  -0.739210E+01
   206   0.552663E+04   0.656604E+00   0.646200E-02  -0.605725E+01
   207   0.553496E+04   0.662282E+00   0.653113E-02  -0.470382E+01
   208   0.554254E+04   0.669027E+00   0.660054E-02  -0.333231E+01
   209   0.554955E+04   0.676859E+00   0.667024E-02  -0.194308E+01
   210   0.555596E+04   0.685830E+00   0.674023E-02  -0.537015E+00
   211   0.556179E+04   0.695968E+00   0.681048E-02   0.885837E+00
   212   0.556689E+04   0.707302E+00   0.688100E-02   0.232455E+01
   213   0.557147E+04   0.719876E+00   0.695178E-02   0.377918E+01
   214   0.557539E+04   0.733681E+00   0.702282E-02   0.524853E+01
   215   0.557873E+04   0.748908E+00   0.709410E-02   0.673188E+01
   216   0.558140E+04   0.765372E+00   0.716563E-02   0.822975E+01
   217   0.558356E+04   0.783228E+00   0.723739E-02   0.974014E+01
   218   0.558506E+04   0.802473E+00   0.730937E-02   0.112633E+02
   219   0.558597E+04   0.823108E+00   0.738158E-02   0.128002E+02
   220   0.558630E+04   0.845280E+00   0.745400E-02   0.143464E+02
   221   0.558604E+04   0.868912E+00   0.752662E-02   0.159041E+02
   222   0.558519E+04   0.894154E+00   0.759945E-02   0.174719E+02
   223   0.558360E+04   0.920929E+00   0.767246E-02   0.190505E+02
   224   0.558158E+04   0.949236E+00   0.774565E-02   0.206362E+02
   225   0.557889E+04   0.979223E+00   0.781902E-02   0.222319E+02
   226   0.557561E+04   0.101089E+01   0.789256E-02   0.238341E+02
   227   0.557168E+04   0.104423E+01   0.796625E-02   0.254442E+02
   228   0.556722E+04   0.107925E+01   0.804010E-02   0.270606E+02
   229   0.556218E+04   0.111602E+01   0.811408E-02   0.286820E+02
   230   0.555648E+04   0.115454E+01   0.818820E-02   0.303091E+02
   231   0.555011E+04   0.119488E+01   0.826244E-02   0.319412E+02
   232   0.554323E+04   0.123697E+01   0.833680E-02   0.335768E+02
   233   0.553576E+04   0.128102E+01   0.841126E-02   0.352143E+02
   234   0.552755E+04   0.132690E+01   0.848582E-02   0.368546E+02
   235   0.551882E+04   0.137466E+01   0.856047E-02   0.384963E+02
   236   0.550944E+04   0.142432E+01   0.863519E-02   0.401392E+02
   237   0.549946E+04   0.147593E+01   0.870999E-02   0.417820E+02
   238   0.548889E+04   0.152959E+01   0.878484E-02   0.434246E+02
   239   0.547781E+04   0.158513E+01   0.885974E-02   0.450663E+02
   240   0.546598E+04   0.164264E+01   0.893468E-02   0.467050E+02
   241   0.545372E+04   0.170225E+01   0.900965E-02   0.483412E+02
   242   0.544087E+04   0.176381E+01   0.908464E-02   0.499745E+02
   243   0.542742E+04   0.182749E+01   0.915965E-02   0.516031E+02
   244   0.541339E+04   0.189319E+01   0.923465E-02   0.532280E+02
   245   0.539876E+04   0.196100E+01   0.930964E-02   0.548461E+02
   246   0.538362E+04   0.203091E+01   0.938462E-02   0.564590E+02
   247   0.536796E+04   0.210284E+01   0.945956E-02   0.580644E+02
   248   0.535171E+04   0.217718E+01   0.953447E-02   0.596624E+02
   249   0.533502E+04   0.225338E+01   0.960933E-02   0.612522E+02
   250   0.531773E+04   0.233191E+01   0.968413E-02   0.628323E+02
   251   0.530000E+04   0.241246E+01   0.975887E-02   0.644035E+02
   252   0.528161E+04   0.249526E+01   0.983352E-02   0.659644E+02
   253   0.526292E+04   0.258008E+01   0.990809E-02   0.675134E+02
   254   0.524364E+04   0.266722E+01   0.998257E-02   0.690506E+02
   255   0.522384E+04   0.275638E+01   0.100569E-01   0.705760E+02
   256   0.520360E+04   0.284793E+01   0.101312E-01   0.720895E+02
   257   0.518292E+04   0.294144E+01   0.102053E-01   0.735832E+02
