#    L    TT             EE             BB             TE          
     2   0.304836E+04   0.633271E-01   0.532526E-06   0.327230E+01
     3   0.287331E+04   0.923826E-01   0.106520E-05   0.240790E+01
     4   0.273802E+04   0.964739E-01   0.177565E-05   0.205236E+01
     5   0.263672E+04   0.819668E-01   0.266407E-05   0.253629E+01
     6   0.255159E+04   0.615925E-01   0.373069E-05   0.369474E+01
     7   0.247436E+04   0.457002E-01   0.497580E-05   0.516873E+01
     8   0.240031E+04   0.384649E-01   0.639971E-05   0.659445E+01
     9   0.232795E+04   0.384666E-01   0.800277E-05   0.769956E+01
    10   0.225899E+04   0.415539E-01   0.978538E-05   0.834843E+01
    11   0.219737E+04   0.437430E-01   0.117480E-04   0.852691E+01
    12   0.214411E+04   0.428787E-01   0.138910E-04   0.829629E+01
    13   0.209547E+04   0.389356E-01   0.162149E-04   0.776851E+01
    14   0.204860E+04   0.331932E-01   0.187202E-04   0.706575E+01
    15   0.200383E+04   0.271807E-01   0.214074E-04   0.631887E+01
    16   0.196207E+04   0.222376E-01   0.242771E-04   0.564680E+01
    17   0.192389E+04   0.189166E-01   0.273298E-04   0.510886E+01
    18   0.188881E+04   0.172657E-01   0.305661E-04   0.473924E+01
    19   0.185741E+04   0.169507E-01   0.339865E-04   0.452440E+01
    20   0.182771E+04   0.175958E-01   0.375916E-04   0.443343E+01
    21   0.180013E+04   0.187762E-01   0.413819E-04   0.442798E+01
    22   0.177509E+04   0.201630E-01   0.453579E-04   0.446667E+01
    23   0.175240E+04   0.215032E-01   0.495203E-04   0.450835E+01
    24   0.173209E+04   0.225731E-01   0.538695E-04   0.451709E+01
    25   0.171406E+04   0.233621E-01   0.584059E-04   0.447772E+01
    26   0.169808E+04   0.238999E-01   0.631301E-04   0.438539E+01
    27   0.168428E+04   0.243276E-01   0.680426E-04   0.424856E+01
    28   0.167240E+04   0.248365E-01   0.731436E-04   0.408116E+01
    29   0.166234E+04   0.255933E-01   0.784337E-04   0.390039E+01
    30   0.165387E+04   0.267436E-01   0.839131E-04   0.372146E+01
    31   0.164674E+04   0.283358E-01   0.895822E-04   0.355432E+01
    32   0.164113E+04   0.303747E-01   0.954413E-04   0.340635E+01
    33   0.163691E+04   0.328377E-01   0.101491E-03   0.327996E+01
    34   0.163381E+04   0.356999E-01   0.107730E-03   0.317670E+01
    35   0.163174E+04   0.389064E-01   0.114160E-03   0.309669E+01
    36   0.163062E+04   0.424000E-01   0.120781E-03   0.303558E+01
    37   0.163049E+04   0.461119E-01   0.127593E-03   0.297630E+01
    38   0.163165E+04   0.499926E-01   0.134595E-03   0.290418E+01
    39   0.163403E+04   0.540528E-01   0.141789E-03   0.281814E+01
    40   0.163727E+04   0.583237E-01   0.149173E-03   0.272025E+01
    41   0.164140E+04   0.628371E-01   0.156748E-03   0.261176E+01
    42   0.164614E+04   0.676063E-01   0.164513E-03   0.249138E+01
    43   0.165161E+04   0.726395E-01   0.172469E-03   0.235723E+01
    44   0.165762E+04   0.779304E-01   0.180615E-03   0.220831E+01
    45   0.166452E+04   0.834830E-01   0.188952E-03   0.204368E+01
    46   0.167219E+04   0.893034E-01   0.197479E-03   0.186127E+01
    47   0.168046E+04   0.953932E-01   0.206195E-03   0.166422E+01
    48   0.168924E+04   0.101760E+00   0.215101E-03   0.145966E+01
    49   0.169857E+04   0.108390E+00   0.224196E-03   0.125410E+01
    50   0.170865E+04   0.115260E+00   0.233481E-03   0.104731E+01
    51   0.171924E+04   0.122343E+00   0.242954E-03   0.836724E+00
    52   0.173057E+04   0.129722E+00   0.252616E-03   0.616291E+00
    53   0.174224E+04   0.137539E+00   0.262466E-03   0.380919E+00
    54   0.175419E+04   0.145782E+00   0.272505E-03   0.133485E+00
    55   0.176664E+04   0.154424E+00   0.282731E-03  -0.123018E+00
    56   0.177980E+04   0.163318E+00   0.293145E-03  -0.391429E+00
    57   0.179358E+04   0.172357E+00   0.303747E-03  -0.671613E+00
    58   0.180795E+04   0.181556E+00   0.314536E-03  -0.963923E+00
    59   0.182274E+04   0.190956E+00   0.325512E-03  -0.126874E+01
    60   0.183793E+04   0.200614E+00   0.336676E-03  -0.158499E+01
    61   0.185379E+04   0.210626E+00   0.348026E-03  -0.191158E+01
    62   0.186971E+04   0.220974E+00   0.359564E-03  -0.224952E+01
    63   0.188591E+04   0.231611E+00   0.371289E-03  -0.260001E+01
    64   0.190269E+04   0.242543E+00   0.383200E-03  -0.296447E+01
    65   0.191966E+04   0.253739E+00   0.395299E-03  -0.334372E+01
    66   0.193711E+04   0.265125E+00   0.407586E-03  -0.373616E+01
    67   0.195487E+04   0.276702E+00   0.420060E-03  -0.413960E+01
    68   0.197323E+04   0.288511E+00   0.432721E-03  -0.455297E+01
    69   0.199195E+04   0.300512E+00   0.445571E-03  -0.497515E+01
    70   0.201114E+04   0.312746E+00   0.458609E-03  -0.540843E+01
    71   0.203067E+04   0.325202E+00   0.471836E-03  -0.585548E+01
    72   0.205054E+04   0.337861E+00   0.485252E-03  -0.631663E+01
    73   0.207072E+04   0.350696E+00   0.498858E-03  -0.679108E+01
    74   0.209123E+04   0.363704E+00   0.512654E-03  -0.727657E+01
    75   0.211219E+04   0.376901E+00   0.526641E-03  -0.777024E+01
    76   0.213353E+04   0.390295E+00   0.540820E-03  -0.827046E+01
    77   0.215531E+04   0.403871E+00   0.555190E-03  -0.877771E+01
    78   0.217754E+04   0.417649E+00   0.569754E-03  -0.929444E+01
    79   0.220004E+04   0.431566E+00   0.584511E-03  -0.981790E+01
    80   0.222290E+04   0.445619E+00   0.599462E-03  -0.103505E+02
    81   0.224602E+04   0.459751E+00   0.614609E-03  -0.108937E+02
    82   0.226948E+04   0.473983E+00   0.629952E-03  -0.114468E+02
    83   0.229320E+04   0.488292E+00   0.645492E-03  -0.120094E+02
    84   0.231727E+04   0.502675E+00   0.661230E-03  -0.125798E+02
    85   0.234155E+04   0.517108E+00   0.677167E-03  -0.131591E+02
    86   0.236613E+04   0.531603E+00   0.693304E-03  -0.137463E+02
    87   0.239123E+04   0.546134E+00   0.709642E-03  -0.143403E+02
    88   0.241638E+04   0.560717E+00   0.726182E-03  -0.149405E+02
    89   0.244198E+04   0.575339E+00   0.742925E-03  -0.155481E+02
    90   0.246785E+04   0.589965E+00   0.759873E-03  -0.161596E+02
    91   0.249393E+04   0.604590E+00   0.777025E-03  -0.167753E+02
    92   0.252035E+04   0.619200E+00   0.794384E-03  -0.173946E+02
    93   0.254712E+04   0.633787E+00   0.811951E-03  -0.180176E+02
    94   0.257402E+04   0.648315E+00   0.829727E-03  -0.186429E+02
    95   0.260127E+04   0.662784E+00   0.847712E-03  -0.192714E+02
    96   0.262856E+04   0.677180E+00   0.865908E-03  -0.199023E+02
    97   0.265635E+04   0.691489E+00   0.884316E-03  -0.205352E+02
    98   0.268441E+04   0.705703E+00   0.902938E-03  -0.211678E+02
    99   0.271258E+04   0.719786E+00   0.921774E-03  -0.218032E+02
   100   0.274110E+04   0.733739E+00   0.940826E-03  -0.224372E+02
   101   0.276981E+04   0.747621E+00   0.960095E-03  -0.230727E+02
