#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.208623E+04   0.537865E-01   0.000000E+00   0.216841E+01   0.320047E-07   0.448021E-02  -0.142003E-04
     3   0.212883E+04   0.874206E-01   0.000000E+00   0.283616E+01   0.386108E-07   0.489084E-02  -0.175767E-04
     4   0.209210E+04   0.972733E-01   0.000000E+00   0.337121E+01   0.444607E-07   0.507659E-02  -0.176659E-04
     5   0.202705E+04   0.852023E-01   0.000000E+00   0.358352E+01   0.496709E-07   0.513533E-02  -0.153155E-04
     6   0.195971E+04   0.621148E-01   0.000000E+00   0.346852E+01   0.543169E-07   0.512321E-02  -0.113922E-04
     7   0.189815E+04   0.390729E-01   0.000000E+00   0.312545E+01   0.584857E-07   0.507220E-02  -0.678803E-05
     8   0.184163E+04   0.224421E-01   0.000000E+00   0.268079E+01   0.622415E-07   0.499540E-02  -0.232595E-05
     9   0.179176E+04   0.133282E-01   0.000000E+00   0.223763E+01   0.656418E-07   0.490136E-02   0.135453E-05
    10   0.174866E+04   0.962794E-02   0.000000E+00   0.185500E+01   0.687208E-07   0.479619E-02   0.390288E-05
    11   0.171149E+04   0.848117E-02   0.000000E+00   0.157086E+01   0.715325E-07   0.469073E-02   0.525673E-05
    12   0.168026E+04   0.790618E-02   0.000000E+00   0.139759E+01   0.740861E-07   0.458813E-02   0.551177E-05
    13   0.165301E+04   0.705643E-02   0.000000E+00   0.131425E+01   0.764076E-07   0.448866E-02   0.485845E-05
    14   0.162868E+04   0.613508E-02   0.000000E+00   0.129241E+01   0.785277E-07   0.439239E-02   0.353792E-05
    15   0.160739E+04   0.542977E-02   0.000000E+00   0.131023E+01   0.804636E-07   0.429747E-02   0.195293E-05
    16   0.158937E+04   0.514345E-02   0.000000E+00   0.135006E+01   0.822304E-07   0.420255E-02   0.492479E-06
    17   0.157444E+04   0.527620E-02   0.000000E+00   0.140129E+01   0.838455E-07   0.410925E-02  -0.641410E-06
    18   0.156155E+04   0.558997E-02   0.000000E+00   0.145587E+01   0.853247E-07   0.401938E-02  -0.133602E-05
    19   0.155139E+04   0.594557E-02   0.000000E+00   0.150228E+01   0.866740E-07   0.393235E-02  -0.164720E-05
    20   0.154216E+04   0.631528E-02   0.000000E+00   0.153029E+01   0.878992E-07   0.384720E-02  -0.165633E-05
    21   0.153417E+04   0.675143E-02   0.000000E+00   0.155278E+01   0.890136E-07   0.376379E-02  -0.138621E-05
    22   0.152768E+04   0.739323E-02   0.000000E+00   0.158262E+01   0.900306E-07   0.368224E-02  -0.875143E-06
    23   0.152243E+04   0.828827E-02   0.000000E+00   0.161443E+01   0.909555E-07   0.360289E-02  -0.281925E-06
    24   0.151839E+04   0.942385E-02   0.000000E+00   0.164048E+01   0.917925E-07   0.352608E-02   0.219992E-06
    25   0.151544E+04   0.108091E-01   0.000000E+00   0.166180E+01   0.925485E-07   0.345183E-02   0.513419E-06
    26   0.151329E+04   0.124151E-01   0.000000E+00   0.168403E+01   0.932310E-07   0.338004E-02   0.537100E-06
    27   0.151212E+04   0.142034E-01   0.000000E+00   0.171521E+01   0.938458E-07   0.331041E-02   0.395449E-06
    28   0.151172E+04   0.161657E-01   0.000000E+00   0.176166E+01   0.943971E-07   0.324268E-02   0.210861E-06
    29   0.151218E+04   0.183096E-01   0.000000E+00   0.181531E+01   0.948846E-07   0.317700E-02   0.159034E-07
    30   0.151346E+04   0.206488E-01   0.000000E+00   0.186413E+01   0.953090E-07   0.311346E-02  -0.184897E-06
    31   0.151541E+04   0.231662E-01   0.000000E+00   0.190113E+01   0.956775E-07   0.305184E-02  -0.409551E-06
    32   0.151823E+04   0.258346E-01   0.000000E+00   0.192144E+01   0.959980E-07   0.299180E-02  -0.661038E-06
    33   0.152189E+04   0.286647E-01   0.000000E+00   0.192390E+01   0.962732E-07   0.293302E-02  -0.860298E-06
    34   0.152615E+04   0.316865E-01   0.000000E+00   0.191017E+01   0.965044E-07   0.287527E-02  -0.923316E-06
    35   0.153098E+04   0.349227E-01   0.000000E+00   0.188639E+01   0.966943E-07   0.281857E-02  -0.826836E-06
    36   0.153630E+04   0.383947E-01   0.000000E+00   0.185697E+01   0.968456E-07   0.276312E-02  -0.588591E-06
    37   0.154210E+04   0.420951E-01   0.000000E+00   0.181878E+01   0.969610E-07   0.270942E-02  -0.329521E-06
    38   0.154870E+04   0.460205E-01   0.000000E+00   0.176992E+01   0.970423E-07   0.265784E-02  -0.163514E-06
    39   0.155603E+04   0.501822E-01   0.000000E+00   0.171199E+01   0.970912E-07   0.260805E-02  -0.748870E-07
    40   0.156382E+04   0.546006E-01   0.000000E+00   0.164729E+01   0.971090E-07   0.255954E-02  -0.157934E-07
    41   0.157214E+04   0.592966E-01   0.000000E+00   0.157711E+01   0.970969E-07   0.251191E-02   0.509201E-07
    42   0.158075E+04   0.642714E-01   0.000000E+00   0.149940E+01   0.970567E-07   0.246512E-02   0.120316E-06
    43   0.158978E+04   0.695212E-01   0.000000E+00   0.141137E+01   0.969900E-07   0.241924E-02   0.176992E-06
    44   0.159906E+04   0.750272E-01   0.000000E+00   0.131107E+01   0.968985E-07   0.237433E-02   0.205594E-06
    45   0.160895E+04   0.807814E-01   0.000000E+00   0.119665E+01   0.967839E-07   0.233048E-02   0.190813E-06
    46   0.161937E+04   0.867801E-01   0.000000E+00   0.106501E+01   0.966477E-07   0.228770E-02   0.123111E-06
    47   0.163017E+04   0.930260E-01   0.000000E+00   0.917925E+00   0.964912E-07   0.224591E-02   0.159166E-07
    48   0.164130E+04   0.995301E-01   0.000000E+00   0.761029E+00   0.963155E-07   0.220500E-02  -0.111657E-06
    49   0.165284E+04   0.106281E+00   0.000000E+00   0.599379E+00   0.961218E-07   0.216484E-02  -0.240551E-06
    50   0.166503E+04   0.113261E+00   0.000000E+00   0.431243E+00   0.959112E-07   0.212532E-02  -0.351750E-06
    51   0.167766E+04   0.120445E+00   0.000000E+00   0.253057E+00   0.956848E-07   0.208636E-02  -0.430395E-06
    52   0.169092E+04   0.127915E+00   0.000000E+00   0.595461E-01   0.954433E-07   0.204810E-02  -0.478075E-06
    53   0.170440E+04   0.135816E+00   0.000000E+00  -0.153141E+00   0.951878E-07   0.201068E-02  -0.500479E-06
